品牌,车系,别名,频次,单匹
AITO,问界M5,问界M5,70,1
AITO,问界M7,问界M7,77,1
AITO,问界M9,问界M9,118,1
DS,DS 5LS,DS 5LS,66,0
DS,DS 5LS,DS5LS,66,0
DS,DS6,DS6,106,0
Jeep,Compass [指南者],COMPASS,439,1
Jeep,Compass [指南者],指南者,439,1
Jeep,Grand Cherokee [大切诺基],GRAND CHEROKEE,103,1
Jeep,Grand Cherokee [大切诺基],大切诺基,103,1
Jeep,Patriot [自由客],PATRIOT,68,1
Jeep,Patriot [自由客],自由客,68,1
Jeep,Wrangler [牧马人],WRANGLER,72,1
Jeep,Wrangler [牧马人],牧马人,72,1
Jeep,指南者,指南者,433,1
Jeep,自由侠,自由侠,180,1
Jeep,自由光,自由光,370,1
MG,MG GS锐腾,MG GS锐腾,196,1
MG,MG GS锐腾,MGGS锐腾,196,1
MG,MG GT锐行,MG GT锐行,77,1
MG,MG GT锐行,MGGT锐行,77,1
MG,MG ZS,MG ZS,187,0
MG,MG ZS,MGZS,187,0
MG,MG3,MG3,424,0
MG,MG5,MG5,160,0
MG,MG6,MG6,410,0
MINI,Clubman,CLUBMAN,95,0
MINI,Countryman,COUNTRYMAN,162,0
MINI,Mini,MINI,100,0
MINI,Mini 5-Door,MINI 5-DOOR,317,0
MINI,Mini 5-Door,MINI5DOOR,317,0
WEY,VV5,VV5,180,0
WEY,VV6,VV6,76,0
WEY,VV7,VV7,298,0
WEY,坦克300,坦克300,82,1
WEY,高山,高山,125,1
smart,Forfour,FORFOUR,75,0
smart,Fortwo,FORTWO,353,0
一汽,威乐,威乐,74,1
一汽,威志,威志,330,1
一汽,森雅M80,森雅M80,117,1
一汽,森雅R7,森雅R7,148,1
一汽,森雅S80,森雅S80,152,1
一汽,骏派,骏派,142,1
三菱,ASX劲炫,ASX劲炫,511,1
三菱,Outlander [欧蓝德],OUTLANDER,159,1
三菱,Outlander [欧蓝德],欧蓝德,159,1
三菱,Pajero [帕杰罗],PAJERO,112,1
三菱,Pajero [帕杰罗],帕杰罗,112,1
三菱,帕杰罗,帕杰罗,55,1
三菱,欧蓝德,欧蓝德,403,1
三菱,翼神,翼神,184,1
三菱,蓝瑟,蓝瑟,100,1
东南,DX3,DX3,141,0
东南,DX7,DX7,278,0
东南,V3菱悦,V3菱悦,718,1
东南,V5菱致,V5菱致,211,1
东风,帅客,帅客,187,1
东风,锐骐,锐骐,78,1
东风小康,C系列,C系列,67,1
东风小康,K系列,K系列,367,1
东风小康,V系列,V系列,76,1
中华,H230,H230,97,0
中华,H330,H330,161,0
中华,H530,H530,109,0
中华,V3,V3,212,0
中华,V5,V5,138,0
中华,骏捷,骏捷,420,1
丰田,C-HR,C-HR,378,0
丰田,C-HR,CHR,378,0
丰田,Camry [佳美],CAMRY,108,1
丰田,Camry [佳美],佳美,108,1
丰田,Land Cruiser Prado [普拉多],LAND CRUISER PRADO,397,1
丰田,Land Cruiser Prado [普拉多],普拉多,397,1
丰田,Land Cruiser [兰德酷路泽],LAND CRUISER,96,1
丰田,Land Cruiser [兰德酷路泽],兰德酷路泽,96,1
丰田,Previa [普瑞维亚],PREVIA,56,1
丰田,Previa [普瑞维亚],普瑞维亚,56,1
丰田,RAV4,RAV4,3674,0
丰田,Sienna [塞纳],SIENNA,69,1
丰田,Sienna [塞纳],塞纳,69,1
丰田,Vellfire [威尔法],VELLFIRE,81,1
丰田,Vellfire [威尔法],威尔法,81,1
丰田,亚洲狮,亚洲狮,194,1
丰田,亚洲龙,亚洲龙,786,1
丰田,凌放,凌放,182,1
丰田,凯美瑞,凯美瑞,5610,1
丰田,卡罗拉,卡罗拉,9022,1
丰田,奕泽,奕泽,324,1
丰田,威兰达,威兰达,407,1
丰田,威飒,威飒,170,1
丰田,威驰,威驰,3211,1
丰田,普拉多,普拉多,469,1
丰田,格瑞维亚,格瑞维亚,53,1
丰田,汉兰达,汉兰达,2236,1
丰田,皇冠,皇冠,863,1
丰田,皇冠陆放,皇冠陆放,91,1
丰田,花冠,花冠,3760,1
丰田,赛那,赛那,140,1
丰田,逸致,逸致,229,1
丰田,锋兰达,锋兰达,184,1
丰田,锐志,锐志,1070,1
丰田,雅力士,雅力士,2193,1
丰田,雷凌,雷凌,3022,1
五菱,五菱之光,五菱之光,2213,1
五菱,宏光,宏光,5370,1
五菱,缤果,缤果,91,1
五菱,荣光,荣光,2159,1
众泰,SR7,SR7,91,0
众泰,T600,T600,686,0
众泰,T700,T700,58,0
众泰,Z300,Z300,153,0
众泰,大迈X5,大迈X5,196,1
传祺,GA3,GA3,163,0
传祺,GA6,GA6,85,0
传祺,GM6,GM6,58,0
传祺,GS3,GS3,131,0
传祺,GS4,GS4,1238,0
传祺,GS5,GS5,538,0
传祺,GS8,GS8,266,0
传祺,M6,M6,72,0
传祺,M8,M8,99,0
传祺,传祺(GA5),GA5,88,1
传祺,传祺(GA5),传祺,88,1
保时捷,Cayenne [卡宴],CAYENNE,183,1
保时捷,Cayenne [卡宴],卡宴,183,1
保时捷,Macan,MACAN,140,0
