品牌,车型,上牌时间,行驶里程,颜色,城市,车况,是否营运,成交价格,成交时间
大众,2024款 朗逸 300TSI DSG星空领先版,2024年10月1日,1.7,白色,平顶山,80B,非营运,8.05,11月28日
大众,2023款 朗逸 新锐 1.5L 自动出众新逸版,2024年9月1日,3.2,黑色,北京,65B,非营运,5.31,11月6日
大众,2023款 朗逸 新锐 1.5L 自动新逸版,2024年5月1日,3.3,白色,郑州,80B,非营运,5.52,7月14日
大众,2023款 朗逸 300TSI DSG星空满逸版,2024年5月1日,2.8,黑色,北京,80B,非营运,7.85,12月13日
大众,2023款 朗逸 新锐 1.5L 自动新愿版,2024年4月1日,1.3,白色,北京,80B,非营运,6.41,9月5日
大众,2024款 朗逸 1.5L 自动星空五百万版,2024年1月1日,2.5,黑色,达州,80A,非营运,7.02,7月14日
大众,2023款 朗逸 新锐 1.5L 自动新逸版,2023年12月1日,1.0,白色,北京,65B,非营运,4.49,8月30日
大众,2024款 朗逸 1.5L 自动星空五百万版,2023年10月1日,3.1,白色,长沙,80B,非营运,7.05,6月30日
大众,2023款 朗逸 改款 1.5L 自动得逸版,2023年7月1日,9.0,白色,郑州,80B,非营运,5.24,11月18日
大众,2023款 朗逸 改款 1.5L 自动得逸版,2023年7月1日,7.6,白色,郑州,65B,非营运,5.05,11月13日
大众,2023款 朗逸 改款 1.5L 自动得逸版,2023年7月1日,10.8,白色,郑州,80B,非营运,5.0,12月2日
大众,2023款 朗逸 改款 1.5L 自动得逸版,2023年7月1日,7.8,白色,郑州,65B,非营运,4.97,11月14日
大众,2023款 朗逸 新锐 1.5L 自动新愿版,2023年6月1日,0.7,蓝色,保定,80B,非营运,5.65,7月30日
大众,2023款 朗逸 1.5L 自动满逸版,2023年6月1日,2.6,白色,重庆,80B,非营运,5.31,8月4日
大众,2023款 朗逸 新锐 1.5L 自动新愿版,2023年5月1日,0.2,蓝色,天津,65B,非营运,5.27,12月23日
大众,2023款 朗逸 280TSI DSG满逸版,2023年5月1日,4.0,白色,郑州,80B,非营运,6.66,8月18日
大众,2023款 朗逸 1.5L 自动得逸版,2023年1月1日,11.7,白色,西安,65D,非营运,4.82,8月14日
大众,2023款 朗逸 1.5L 自动得逸版,2023年1月1日,6.3,白色,郑州,65B,非营运,5.07,11月8日
大众,2023款 朗逸 1.5L 自动得逸版,2023年1月1日,5.9,白色,郑州,80B,非营运,5.13,11月7日
大众,2023款 朗逸 1.5L 自动得逸版,2023年1月1日,5.7,白色,郑州,80B,非营运,5.11,11月13日
大众,2023款 朗逸 1.5L 自动满逸版,2022年10月1日,24.2,黑色,北京,50B,非营运,4.72,12月21日
大众,2023款 朗逸 1.5L 自动得逸版,2022年10月1日,11.0,其他,西安,65D,非营运,4.61,12月2日
大众,2022款 朗逸 1.5L 自动风尚版,2022年10月1日,10.9,白色,青岛,65B,非营运,4.33,11月28日
大众,2023款 朗逸 1.5L 自动得逸版,2022年9月1日,7.9,白色,西安,65D,非营运,4.66,11月3日
大众,2023款 朗逸 1.5L 自动得逸版,2022年9月1日,8.1,白色,西安,65B,非营运,4.7,9月10日
大众,2023款 朗逸 1.5L 自动得逸版,2022年9月1日,9.2,白色,郑州,65B,非营运,4.73,11月13日
大众,2021款 朗逸 1.5L 自动风尚版,2022年8月1日,10.7,白色,武汉,65D,非营运,4.4,10月24日
大众,2023款 朗逸 1.5L 自动五百万版,2022年8月1日,2.0,黑色,商丘,80B,非营运,6.94,11月21日
大众,2022款 朗逸 1.5L 自动风尚版,2022年7月1日,5.3,白色,西安,80D,非营运,4.34,9月10日
大众,2022款 朗逸 1.5L 自动风尚版,2022年7月1日,5.8,白色,西安,80D,非营运,4.8,9月10日
大众,2021款 朗逸 1.5L 自动风尚版,2022年7月1日,8.7,灰色,宁波,65B,非营运,4.46,12月2日
大众,2022款 朗逸 1.5L 自动风尚版,2022年7月1日,17.2,白色,苏州,65B,非营运,4.09,10月10日
大众,2022款 朗逸 1.5L 自动视野版,2022年6月1日,22.6,黄色,郑州,65B,非营运,4.52,11月9日
大众,2021款 朗逸 1.5L 自动风尚版,2022年6月1日,12.2,灰色,广州,65B,非营运,4.41,12月15日
大众,2022款 朗逸 1.5L 自动风尚版,2022年3月1日,4.9,白色,唐山,80B,非营运,5.09,11月3日
大众,2022款 朗逸 1.5L 自动风尚版,2022年1月1日,9.4,黑色,南京,65B,非营运,4.31,12月15日
大众,2022款 朗逸 280TSI DSG舒适版,2022年1月1日,3.0,白色,枣庄,80B,非营运,6.26,8月13日
大众,2022款 朗逸 1.5L 自动视野版,2022年1月1日,5.8,白色,昆明,65B,非营运,5.34,10月28日
大众,2021款 朗逸 1.5L 自动舒适版 国VI,2022年1月1日,3.6,黑色,郑州,80B,非营运,5.56,10月9日
大众,2021款 朗逸 1.5L 自动舒适版 国VI,2022年1月1日,6.6,白色,北京,65B,非营运,5.55,10月17日
大众,2022款 朗逸 280TSI DSG舒适版,2021年12月1日,4.7,白色,西安,80B,非营运,5.72,8月12日
大众,2021款 朗逸 1.5L 自动舒适版 国VI,2021年9月1日,13.1,黑色,北京,50B,非营运,4.39,7月21日
大众,2021款 朗逸 1.5L 自动风尚版,2021年8月1日,7.4,白色,沈阳,65D,非营运,3.85,7月18日
大众,2021款 朗逸 280TSI DSG舒适版 国VI,2021年7月1日,8.4,白色,唐山,65C,非营运,5.67,11月12日
大众,2021款 朗逸 280TSI DSG舒适版 国VI,2021年7月1日,8.4,白色,唐山,65C,非营运,5.65,11月10日
大众,2021款 朗逸 280TSI DSG舒适版 国VI,2021年7月1日,3.5,白色,合肥,80B,非营运,6.0,9月2日
大众,2019款 朗逸 启航 1.5L 手动风尚版 国VI,2021年5月1日,7.3,白色,西安,65B,非营运,3.31,7月29日
