车辆名称,车辆评级,成交价格,成交时间,上牌时间,行驶里程,车辆所在地,使用性质,颜色
斯柯达/明锐/2013款 1.6 自动 逸俊版,50BB,1.30万元,2026年03月,2014年01月,174780公里,武汉,非营运,灰色
雪佛兰/科鲁兹三厢/2015款 1.5 手动 经典版SE,50BC,0.80万元,2026年03月,2015年01月,157848公里,盐城,非营运,白色
雪佛兰/迈锐宝/2014款 2.0 自动 舒适版,45BD,1.31万元,2026年03月,2014年05月,156774公里,南京,非营运,白色
三菱/欧蓝德（进口）/2016款 2.4 自动 精英版7座四驱 (进口),75AB,4.33万元,2026年03月,2016年03月,149253公里,南京,非营运,白色
"中升车源
别克/英朗三厢/2016款 1.5 自动 15N精英型",65BC,2.23万元,2026年03月,2016年04月,101759公里,南京,非营运,白色
哈弗/哈弗H6/2022款 第三代 1.5T 自动 两驱Max,85AB,7.00万元,2026年03月,2023年09月,21750公里,天津,非营运,白色
丰田/卡罗拉/2021款 1.8 自动 先锋版 双擎,75AC,5.94万元,2026年03月,2023年05月,84095公里,哈尔滨,非营运,白色
别克/英朗三厢/2015款 1.5 自动 15N精英型,50CC,1.92万元,2026年03月,2016年03月,70088公里,芜湖,非营运,白色
"中升车源
丰田/卡罗拉/2013款 1.6 自动 GL至酷特装版",35DC,1.76万元,2026年03月,2014年03月,269492公里,哈尔滨,非营运,白色
福特/锐界/2015款 2.0T 自动 GTDi豪锐型四驱,60BC,5.70万元,2026年03月,2016年01月,135737公里,哈尔滨,非营运,白色
雪佛兰/科沃兹/2016款 1.5 自动 欣悦版,45CC,1.54万元,2026年03月,2017年05月,81796公里,成都,非营运,棕色
大众/途观L新能源/2019款 1.4T 自动 430PHEV混动豪华版,70CB,5.35万元,2026年03月,2019年02月,86934公里,杭州,非营运,白色
本田/XR-V/2017款 1.5 自动 LXi经典版,70BC,3.87万元,2026年03月,2017年06月,165169公里,天津,非营运,白色
雪佛兰/科鲁兹三厢/2017款 1.4T 自动 先锋天窗版,40CB,1.54万元,2026年03月,2016年12月,72466公里,无锡,非营运,白色
"中升车源
江汽集团/瑞风S3/2014款 1.5 手动 豪华型",95AA,0.69万元,2026年03月,2015年06月,86250公里,大连,非营运,白色
奥迪/Q3/2019款 1.4T 自动 35TFSI时尚动感型,65BC,9.01万元,2026年03月,2020年01月,103640公里,厦门,非营运,白色
金杯/小海狮X30/2021款 1.5L 手动 财富型单蒸空调版客车国VI SWC15M,60BC,1.48万元,2026年03月,2022年12月,41524公里,长沙,租赁公司非营运,白色
"中升车源
本田/凌派/2016款 1.8 自动 舒适版",70DD,2.87万元,2026年03月,2016年09月,93242公里,长沙,非营运,白色
坦克/坦克300/2021款 越野版 2.0T自动 征服者,80AB,10.80万元,2026年03月,2021年03月,106953公里,十堰,租赁公司非营运,黑色
别克/昂科威Plus/2020款 1.5T 自动 20T精英型前驱,65BB,5.15万元,2026年03月,2020年07月,163363公里,襄阳,非营运,棕色
本田/哥瑞/2016款 1.5 自动 经典版,60DC,1.95万元,2026年03月,2017年01月,154812公里,武汉,非营运,灰色
日产/奇骏/2017款 2.5 自动 豪华版四驱,85BC,5.50万元,2026年03月,2017年06月,81262公里,襄阳,非营运,棕色
别克/昂科拉/2015款 1.4T 自动 都市精英型前驱,50CD,1.17万元,2026年03月,2016年01月,154492公里,海口,非营运,红色
本田/飞度两厢/2014款 1.5 自动 LX舒适版,50BB,1.94万元,2026年03月,2014年11月,104140公里,深圳,非营运,红色
雪铁龙/爱丽舍三厢/2015款 1.6 手动 质尚版时尚型,35DB,0.38万元,2026年03月,2015年02月,125178公里,天津,非营运,白色
吉利汽车/缤越新能源/2022款 1.5T 自动 epro 85KM星耀版,85BB,4.11万元,2026年03月,2022年03月,38317公里,杭州,非营运,白色
"中升车源
雪佛兰/迈锐宝/2016款 1.6T 自动 舒适版",70CC,2.35万元,2026年03月,2015年12月,75930公里,杭州,非营运,白色
"中升车源
长安/CS75/2018款 1.5T 自动 280T雅智型",65DB,2.95万元,2026年03月,2018年05月,97977公里,杭州,非营运,白色
奥迪/A4L/2015款 2.0T 自动 35TFSI舒适型,70CC,3.73万元,2026年03月,2014年11月,102810公里,杭州,非营运,白色
丰田/花冠/2013款 1.6 自动 卓越型,60CC,1.42万元,2026年03月,2013年07月,187560公里,深圳,非营运,白色
起亚/K4/2017款 1.8 自动 DLX Special,65AB,2.56万元,2026年03月,2016年11月,111393公里,深圳,非营运,白色
斯柯达/明锐/2020款 1.5L 自动 智行舒适版,75BB,3.91万元,2026年03月,2021年01月,80914公里,杭州,租赁公司非营运,白色
"中升车源
丰田/威驰/2014款 1.5 自动 智臻版",55DB,1.90万元,2026年03月,2015年08月,101501公里,大连,非营运,红色
"中升车源
大众/速腾/2014款 1.6 自动 舒适型",35DB,1.80万元,2026年03月,2014年06月,250120公里,大连,非营运,灰色
日产/轩逸/2016款 1.6 自动 XL豪华版,70BB,2.94万元,2026年03月,2016年04月,102080公里,深圳,非营运,棕色
"中升车源
本田/缤智/2018款 1.5 自动 科技精英版前驱",70BB,4.00万元,2026年03月,2017年12月,93519公里,深圳,非营运,白色
"中升车源
哈弗/哈弗H6/2013款 1.5T 手动 运动版精英型前驱",75BC,0.68万元,2026年03月,2014年11月,155030公里,武汉,非营运,黑色
北汽威旺/威旺M20/2017款 1.5L 手动 M20S 基本型DAM15DL,95AA,0.16万元,2026年03月,2017年03月,240792公里,深圳,非营运,白色
大众/尚酷两厢/2015款 1.4T 自动 舒适版 (进口),55BC,2.82万元,2026年03月,2015年01月,84198公里,深圳,非营运,绿色
丰田/花冠/2013款 1.6 手动 豪华型,60BB,1.49万元,2026年03月,2013年09月,312107公里,天津,非营运,白色
"中升车源
本田/雅阁/2022款 1.5T 自动 260TURBO 豪华版",80BA,9.90万元,2026年03月,2022年09月,69572公里,深圳,非营运,黑色
"中升车源
大众/途观/2016款 1.8T 自动 300TSI风尚视野版四驱",50DC,3.00万元,2026年03月,2017年02月,204808公里,上海,非营运,棕色
"中升车源
奥迪/Q5L/2021款 2.0T 自动 40 TFSI 豪华动感型",75BB,17.56万元,2026年03月,2021年08月,78119公里,杭州,非营运,白色
江淮瑞风/瑞风M4/2021款 2.0L 手动商旅版,65BC,3.82万元,2026年03月,2022年08月,109088公里,青岛,非营运,白色
现代/领动/2016款 1.6 自动 智炫精英型,65BC,2.26万元,2026年03月,2017年09月,319737公里,嘉兴,非营运,白色
"中升车源
起亚/智跑/2014款 2.0 自动 GLS前驱",35DC,1.72万元,2026年03月,2014年12月,128979公里,大连,非营运,白色
别克/英朗三厢/2016款 1.5 自动 15N精英型,55BB,2.26万元,2026年03月,2016年05月,74137公里,大连,非营运,白色
大众/朗逸/2017款 1.6 自动 舒适版,75CB,3.12万元,2026年03月,2017年09月,118258公里,天津,非营运,白色
"中升车源
起亚/KX5/2016款 1.6T 自动 Premium前驱",50CC,2.72万元,2026年03月,2017年03月,131018公里,宜宾,非营运,黑色
五菱汽车/五菱荣光V/2018款 1.5 手动 标准型,50BC,1.39万元,2026年03月,2018年03月,22905公里,上海,非营运,灰色
大众/迈腾/2012款 2.0T 自动 至尊型,35CC,1.76万元,2026年03月,2011年12月,246722公里,长春,非营运,黑色
大众/迈腾/2023款 200万辆纪念版 2.0T 自动 330TSI DSG领先型,50CB,10.15万元,2026年03月,2024年01月,81844公里,长春,非营运,黑色
奔腾/X40/2019款 1.6 自动 豪华型,55CC,1.96万元,2026年03月,2018年10月,80914公里,长春,非营运,白色
凯迪拉克/XT5/2018款 2.0T 自动 25T豪华型前驱,65AC,7.00万元,2026年03月,2017年11月,165181公里,北京,非营运,黑色
"中升车源
别克/昂科威Plus/2019款 2.0T 自动 28T豪华型四驱 国VI",65BB,7.07万元,2026年03月,2019年09月,66454公里,北京,非营运,棕色
比亚迪/e3/2020款 高续航版 创·尊贵型 纯电动,70BB,2.77万元,2026年03月,2020年05月,162946公里,北京,非营运,白色
比亚迪/元PLUS/2022款 430KM 自动 豪华型,60BB,7.00万元,2026年03月,2023年06月,76122公里,保定,非营运,灰色
雪佛兰/科鲁兹三厢/2013款 1.8 自动 SE,95AA,0.60万元,2026年03月,2013年11月,144584公里,大连,非营运,黑色
日产/颐达/2008款 1.6 自动 JE智能型,50DB,0.47万元,2026年03月,2009年01月,264101公里,梅州,非营运,黑色
雪佛兰/创酷/2016款 1.4T 手动 舒适天窗版前驱,70BC,0.90万元,2026年03月,2015年12月,129405公里,武汉,非营运,白色
起亚/K2三厢/2015款 1.4 手动 GLS,50CC,0.96万元,2026年03月,2015年07月,208104公里,天津,非营运,白色
长安/CS75 PLUS/2021款 1.5T 自动 尊贵型,80BB,4.11万元,2026年03月,2020年11月,84334公里,深圳,非营运,黑色
DS/DS 5LS三厢/2014款 1.6T 自动 雅致版THP160,45DB,0.96万元,2026年03月,2014年06月,105848公里,长春,非营运,红色
丰田/RAV4荣放/2019款 2.0L 自动 CVT两驱都市版 国VI,75BB,6.09万元,2026年03月,2019年09月,64577公里,呼和浩特,非营运,白色
"中升车源
起亚/K4/2017款 1.6T 自动 T-DLX Turbo",40BB,2.62万元,2026年03月,2016年09月,149843公里,成都,非营运,白色
"中升车源
别克/君越/2008款 2.4 自动 舒适型",55BC,0.50万元,2026年03月,2009年05月,101324公里,温州,非营运,黑色
"中升车源
别克/英朗三厢/2010款 1.6T 自动 GT时尚运动型",95AA,0.60万元,2026年03月,2011年06月,106317公里,大连,非营运,黑色
"中升车源
大众/速腾/2012款 1.4T 自动 豪华型",40BD,1.71万元,2026年03月,2012年09月,188919公里,成都,非营运,黑色
"中升车源
大众/POLO两厢/2013款 1.6 自动 舒适版",50BD,1.70万元,2026年03月,2013年12月,117567公里,无锡,非营运,白色
大众/POLO两厢/2016款 1.4 自动 风尚型,70CB,2.26万元,2026年03月,2016年03月,116513公里,苏州,非营运,白色
哈弗/哈弗大狗PLUS 新能源/2023款 1.5T 自动 DHT-PHEV 105km 潮电版Plus,90BB,7.30万元,2026年03月,2023年05月,67403公里,杭州,非营运,灰色
本田/缤智/2016款 1.8 自动 先锋版前驱,40BC,3.50万元,2026年03月,2016年08月,176406公里,上海,非营运,白色
大众/帕萨特/2015款 1.8TSI 自动 DSG御尊版,70BB,4.27万元,2026年03月,2015年12月,87640公里,北京,非营运,黑色
"中升车源
Jeep/指南者/2017款 1.4T 自动 200T家享版前驱",75BB,3.14万元,2026年03月,2017年04月,105150公里,铁岭,非营运,白色
本田/杰德/2013款 1.8 自动 舒适型5座,55DB,2.10万元,2026年03月,2014年07月,124197公里,沈阳,非营运,红色
现代/悦纳/2016款 1.4 自动 炫酷版GLS,50DC,1.43万元,2026年03月,2018年01月,102146公里,鞍山,非营运,白色
"中升车源
雪佛兰/创酷/2014款 1.4T 自动 豪华型前驱",55CC,0.99万元,2026年03月,2015年01月,229632公里,成都,非营运,红色
"中升车源
哈弗/哈弗H6/2015款 1.5T 自动 运动版豪华型前驱",45BD,1.16万元,2026年03月,2015年08月,154241公里,武汉,非营运,黑色
马自达/马6阿特兹/2014款 2.0 自动 蓝天豪华版,70CB,3.18万元,2026年03月,2014年11月,134645公里,深圳,非营运,紫色
福特/锐界/2015款 2.0T 自动 GTDi尊锐型四驱,70BB,6.93万元,2026年03月,2016年04月,61443公里,北京,非营运,棕色
丰田/锐志/2013款 2.5 自动 V尚锐版,50CB,6.12万元,2026年03月,2015年04月,128659公里,杭州,非营运,白色
海马/S5/2015款 1.5T 手动 智能豪华运动型,75BC,0.58万元,2026年03月,2016年01月,69159公里,武汉,非营运,白色
大众/途安/2021款 途安L 1.4T 自动 280TSI DSG拓界版 7座,75BB,10.33万元,2026年03月,2022年03月,109556公里,武汉,租赁公司非营运,白色
丰田/RAV4荣放/2013款 2.0L 自动 CVT两驱都市版,65DB,3.44万元,2026年03月,2014年05月,146619公里,深圳,非营运,白色
长安/CS75/2016款 1.8T 自动 精英型 国V,65BB,2.08万元,2026年03月,2017年02月,71894公里,温州,非营运,白色
本田/思域/2019款 1.0T 自动 180TURBO尚擎版 国VI,60BA,4.02万元,2026年03月,2020年10月,72372公里,保定,非营运,蓝色
大众/朗逸/2015款 1.6 手动 舒适版,50BD,1.86万元,2026年03月,2016年07月,61017公里,新乡,非营运,黑色
哈弗/哈弗H2/2015款 1.5T 自动 精英型前驱,45CD,0.76万元,2026年03月,2015年06月,132892公里,三亚,非营运,棕色
MINI/MINI/2018款 1.5T 自动 ONE五门版 (进口),80BB,6.73万元,2026年03月,2019年05月,41730公里,杭州,非营运,其他
奥迪/Q3/2018款 1.4T 自动 30周年年型30TFSI时尚型前驱,85AB,6.12万元,2026年03月,2018年10月,54502公里,西安,非营运,灰色
本田/思域/2021款 1.5T 自动 HATCHBACK 220TURBO潮酷控,75BB,7.47万元,2026年03月,2021年08月,44047公里,北京,非营运,白色
