brand,series,models,sales_name,guiding_price,level_id,year,vehicle_type_agg,vehicle_size_agg,production_status_agg,idling_year_agg,vehicle_attributes_agg,chassis_code_agg,produced_year_agg
212,T01,T01,2.0T 手自一体 柴油版,16.59,CEY0A20A0007,2025,SUV,紧凑型车,在产,—,国产,,2025
212,T01,T01,2.0T 自动 探险家,15.99,CEY0120A0002,2024,SUV,紧凑型车,在产,—,国产,,2024
212,T01,T01,2.0T 自动 机械师,13.99,CEY0120A0001,2024,SUV,紧凑型车,在产,—,国产,,2024
212,T01,T01,2.0T 自动 柴油版,16.59,CEY0A20A0009,2025,SUV,紧凑型车,在产,—,国产,,2025
212,T01,T01,2.0T 自动 柴油版长风,19.88,CEY0A20A0010,2026,SUV,紧凑型车,在产,—,国产,,2025
212,T01,T01,2.0T 自动 检阅官,17.29,CEY0120A0003,2024,SUV,紧凑型车,停产,2025,国产,,2024
212,T01,T01,2.0T 自动 长风,18.88,CEY0A20A0001,2025,SUV,紧凑型车,在产,—,国产,,2024
212,T01,T01,2.0T 自动 高地,20.58,CEY0A20A0008,2026,SUV,紧凑型车,在产,—,国产,,2025
AITO,问界M5,问界M5,Max RS 四驱高阶智驾版,27.98,CAT01EVC0016,2024,SUV,中型车,停产,2025,国产,,2024
AITO,问界M5,问界M5,Max 后驱高阶智驾版,24.98,CAT01EVC0015,2024,SUV,中型车,停产,2025,国产,,2024
AITO,问界M5,问界M5,后驱标准版,24.98,CAT0115C0001,2022,SUV,中型车,停产,2023,国产,,2022
AITO,问界M5,问界M5,四驱性能版,27.98,CAT0115C0002,2022,SUV,中型车,停产,2023,国产,,2022
AITO,问界M5,问界M5,四驱旗舰版,31.98,CAT0115C0003,2022,SUV,中型车,停产,2023,国产,,2022
AITO,问界M5,问界M5,四驱至臻版,28.88,CAT0115C0004,2022,SUV,中型车,停产,2023,国产,,2022
AITO,问界M5,问界M5,增程Ultra后驱版,22.98,CAT0115E0003,2025,SUV,中型车,在产,—,国产,,2025
AITO,问界M5,问界M5,增程Ultra四驱版,24.98,CAT0115E0004,2025,SUV,中型车,在产,—,国产,,2025
AITO,问界M5,问界M5,增程后驱智驾版,27.98,CAT01EVC0005,2023,SUV,中型车,停产,2024,国产,,2023
AITO,问界M5,问界M5,增程后驱标准版,24.98,CAT0115C0009,2023,SUV,中型车,停产,2024,国产,,2023
AITO,问界M5,问界M5,增程四驱智驾版,29.98,CAT01EVC0006,2023,SUV,中型车,停产,2024,国产,,2023
AITO,问界M5,问界M5,增程四驱标准版,26.98,CAT0115C0010,2023,SUV,中型车,停产,2024,国产,,2023
AITO,问界M5,问界M5 EV,Max 后驱高阶智驾版,26.98,CAT01EVC0017,2024,SUV,中型车,停产,2025,国产,,2024
AITO,问界M5,问界M5 EV,后驱标准版,25.98,CAT01EVC0009,2023,SUV,中型车,停产,2024,国产,,2023
AITO,问界M5,问界M5 EV,后驱标准版,28.86,CAT01EVC0001,2022,SUV,中型车,停产,2023,国产,,2022
AITO,问界M5,问界M5 EV,四驱性能版,31.98,CAT01EVC0002,2022,SUV,中型车,停产,2023,国产,,2022
AITO,问界M5,问界M5 EV,纯电Ultra后驱版,23.98,CAT01EVE0002,2025,SUV,中型车,在产,—,国产,,2025
AITO,问界M5,问界M5 EV,纯电后驱智驾版,28.98,CAT01EVC0007,2023,SUV,中型车,停产,2024,国产,,2023
AITO,问界M5,问界M5 EV,纯电四驱智驾版,30.98,CAT01EVC0008,2023,SUV,中型车,停产,2024,国产,,2023
AITO,问界M7,问界M7,Max四驱版5座,31.98,CAT0215E0013,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Max四驱版5座,33.98,CAT02EVE0005,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Max四驱版6座,33.98,CAT0215E0010,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Max四驱版6座,35.98,CAT02EVE0003,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Max长续航版5座,31.98,CAT02EVE0002,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Max长续航版6座,33.98,CAT02EVE0001,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Pro+四驱版5座,27.98,CAT0215E0012,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Pro+四驱版6座,29.98,CAT0215E0009,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Ultra四驱版5座,33.98,CAT0215E0014,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Ultra四驱版5座,35.98,CAT02EVE0006,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Ultra四驱版6座,35.98,CAT0215E0011,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,Ultra四驱版6座,37.98,CAT02EVE0004,2026,SUV,中大型车,在产,—,国产,,2025
AITO,问界M7,问界M7,两驱Plus版5座,25.8,CAT02EVC0007,2024,SUV,中大型车,停产,2024,国产,,2023
AITO,问界M7,问界M7,两驱Plus版6座,26.98,CAT02EVC0010,2024,SUV,中大型车,停产,2024,国产,,2023
AITO,问界M7,问界M7,两驱舒适版,31.98,CAT02EVC0001,2022,SUV,中大型车,停产,2023,国产,,2022
AITO,问界M7,问界M7,四驱Plus版5座,28.8,CAT02EVC0008,2024,SUV,中大型车,停产,2024,国产,,2023
AITO,问界M7,问界M7,四驱旗舰版,37.98,CAT02EVC0003,2022,SUV,中大型车,停产,2023,国产,,2022
AITO,问界M7,问界M7,四驱豪华版,33.98,CAT02EVC0002,2022,SUV,中大型车,停产,2023,国产,,2022
AITO,问界M7,问界M7,智驾后驱Max版5座,28.98,CAT02EVC0012,2024,SUV,中大型车,停产,2024,国产,,2023
AITO,问界M7,问界M7,智驾后驱Max版6座,30.98,CAT02EVC0013,2024,SUV,中大型车,停产,2024,国产,,2023
AITO,问界M7,问界M7,智驾后驱Pro版5座,24.98,CAT02EVC0025,2024,SUV,中大型车,停产,2025,国产,,2024
AITO,问界M7,问界M7,智驾后驱Pro版6座,26.98,CAT02EVC0026,2024,SUV,中大型车,停产,2025,国产,,2024
AITO,问界M7,问界M7,智驾后驱Ultra版5座,28.98,CAT02EVC0021,2024,SUV,中大型车,停产,2025,国产,,2024
AITO,问界M7,问界M7,智驾后驱Ultra版6座,30.98,CAT02EVC0022,2024,SUV,中大型车,停产,2025,国产,,2024
AITO,问界M7,问界M7,智驾四驱Max版5座,31.8,CAT02EVC0009,2024,SUV,中大型车,停产,2024,国产,,2023
AITO,问界M7,问界M7,智驾四驱Max版6座,32.98,CAT02EVC0011,2024,SUV,中大型车,停产,2024,国产,,2023
AITO,问界M7,问界M7,智驾四驱Pro版5座,26.98,CAT02EVC0027,2024,SUV,中大型车,停产,2025,国产,,2024
