"vehicle_id","上牌日期","车龄","行驶里程","车辆评分","车辆评级","成交日期","成交价格","业务类型","品牌","车系","车型","城市","是否火烧","是否水泡","是否事故","level_id","力扬指导价格"
317580,2013-11-21,12,19.95,"60",B,2025-07-01,15700,YL,起亚,K3,起亚 K3 2013款 1.6 手自一体 GLS,成都市,否,否,否,CFZ1316A0002,"12.48"
317686,2016-11-04,9,6.7,"60",B,2025-07-02,37200,YL,本田,XR-V,本田 XR-V 2017款 1.5 无级 LXi 经典版,烟台市,否,否,否,CDH0615C0007,"13.78"
317707,2009-02-16,16,15.0,"50",C,2025-07-02,3700,YL,铃木,雨燕,铃木 雨燕 2009款 1.5 手动 双色炫锐版,烟台市,否,否,否,CLM0315M0009,"8.18"
317701,2010-09-27,15,10.0,"60",C,2025-07-02,3200,YL,雪佛兰,乐风,雪佛兰 乐风 2009款 1.4 手动 SL 基本版,烟台市,否,否,是,CGX0414M0016,"7.49"
317698,2017-09-08,8,15.3,"60",B,2025-07-02,10100,YL,风神,AX5,风神 AX5 2017款 1.4T 双离合 趣尚型,烟台市,否,否,否,CDF1014D0001,"10.17"
304829,2018-09-25,7,11.0,"80",B,2025-07-02,53700,YL,本田,思域,本田 思域 2016款 1.5T 无级 220TURBO 豪华版,威海市,否,否,否,CDH0215C0001,"13.99"
317399,2013-07-16,12,13.5,"60",C,2025-07-02,4000,YL,别克,英朗,别克 英朗GT 2013款 1.6 手自一体 时尚版,宁波市,否,否,否,CGB0916A0032,"15.27"
317683,2014-01-22,11,4.1,"60",A,2025-07-02,4100,YL,比亚迪,L3,比亚迪 L3 2012款 1.5 手动 舒适型,北京市,否,否,否,CBY0415M0008,"5.99"
310012,2014-03-21,11,17.77,"80",C,2025-07-02,24000,YL,本田,思域,本田 思域 2013款 1.8 自动 EXi舒适版 十周年纪念版,深圳市,否,否,否,CDH0218A0056,"13.98"
316574,2014-10-13,11,14.1,"60",B,2025-07-02,28200,YL,丰田,雷凌,丰田 雷凌 2014款 1.8 无级 GS-L 领先版,南昌市,否,否,否,CFT1318C0002,"14.88"
317074,2014-02-08,11,14.5,"50",C,2025-07-02,7000,YL,大众,朗逸,大众 朗逸 2013款 1.4TSI 手动 豪华版,西安市,否,是,否,CSV0614M0011,"14.69"
313478,2013-01-05,12,12.87,"60",D,2025-07-02,4100,YL,别克,凯越,别克 凯越 2011款 1.6 自动 LX,西安市,否,否,否,CGB0516A0039,"10.49"
313479,2017-09-28,8,10.37,"80",A,2025-07-02,9700,YL,雪佛兰,赛欧,雪佛兰 赛欧3 2018款 1.5 手动 理想版(天窗),西安市,否,否,否,CGX0115M0008,"6.79"
317489,2022-07-04,3,3.3,"80",B,2025-07-02,81500,YL,本田,思域,本田 思域Hatchback 2021款 1.5T 无级 220TURBO 潮酷控,洛阳市,否,否,否,CDH0215C0036,"15.29"
318003,2012-12-04,13,8.27,"80",B,2025-07-02,11200,YL,斯柯达,明锐,斯柯达 明锐 2013款 1.6 手自一体 逸杰版,西安市,否,否,否,CSS0116A0037,"13.96"
310006,2021-04-16,4,2.74,"80",A,2025-07-02,97600,YL,凯迪拉克,XT4,凯迪拉克 XT4 2021款 2.0T 手自一体 28T 两驱技术型,西安市,否,否,否,CGK0820A0046,"25.97"
317642,2014-09-16,11,6.95,"60",B,2025-07-01,36500,YL,丰田,凯美瑞,丰田 凯美瑞经典 2013款 2.0 自动 200GVP 豪华版,成都市,否,否,否,CGT0120A0077,"19.38"
317812,2016-08-15,9,5.4,"50",C,2025-07-02,28200,YL,大众,朗逸,大众 朗逸 2015款 1.6 手自一体 舒适版,泰州市,否,否,否,CSV0616A0124,"13.69"
317785,2017-12-05,8,16.49,"60",B,2025-07-02,22400,YL,雪佛兰,探界者,雪佛兰 探界者 2018款 1.5T 手自一体 535T 领界版,杭州市,否,否,否,CGX1115A0006,"17.49"
317755,2024-07-03,1,1.08,"80",B,2025-07-02,105000,YL,凯迪拉克,CT4,凯迪拉克 CT4 2023款 1.5T 手自一体 25T 豪华型,杭州市,否,否,否,CGK1115A0002,"23.17"
318176,2013-12-30,12,7.3,"80",B,2025-07-02,25300,YL,别克,君威,别克 君威GS 2014款 2.0T 手自一体 豪情运动版,青岛市,否,否,否,CGB0420A0037,"23.99"
317063,2016-11-11,9,7.6,"50",D,2025-07-02,10000,YL,猎豹,CS10,猎豹 CS10 2017款 2.0T 双离合 豪华型,沈阳市,否,否,是,CGJ1120D0008,"12.98"
318009,2012-08-20,13,13.0,"50",D,2025-07-02,7800,YL,大众,朗逸,大众 朗逸 2011款 1.6 手自一体 品雅版,青岛市,否,否,是,CSV0616A0013,"13.48"
318115,2014-09-15,11,17.2,"60",D,2025-07-02,7800,YL,起亚,狮跑,起亚 狮跑 2013款 2.0 手动 GL 两驱,青岛市,否,否,是,CFZ0720M0046,"15.98"
317271,2017-08-23,8,11.7,"50",C,2025-07-02,61000,YL,大众,途观,大众 途观L 2017款 1.8TSI 双离合 330TSI 两驱旗舰版,合肥市,否,否,否,CSV0718D0001,"27.68"
297542,2018-08-20,7,10.2,"60",B,2025-07-02,8400,YL,汉腾,X7,汉腾 X7 2016款 1.5T 手动 舒适型,济南市,否,否,否,CHD0115M0002,"8.38"
315024,2017-02-20,8,9.06,"60",B,2025-07-02,52400,YL,本田,思域,本田 思域 2016款 1.5T 无级 220TURBO 尊耀版,湛江市,否,否,否,CDH0215C0003,"16.99"
