数据来源,车辆全称,品牌车系,新车的价格,二手车的成交价,车况校正价,使用年限,车辆评级,车辆大类,车辆小类,车辆属性,城市,行驶里程,残值率,rounded_year
优信拍,本田 凌派 2013款 1.8 自动 豪华版,本田-凌派,13.48,2.2,2.51,11.17,差,轿车,紧凑型车,合资,杭州,17.33,0.1862017804154302,11.0
优信拍,宝骏 730 2016款 1.5 手动 豪华型7座,宝骏-730,8.28,1.15,1.15,8.92,中,MPV,紧凑型车,国产,金华,7.83,0.1388888888888889,9.0
优信拍,斯柯达 昕锐 2013款 1.4 手动 乐选版,斯柯达-昕锐,7.99,0.78,0.78,11.42,中,轿车,紧凑型车,合资,杭州,14.49,0.097622027534418,11.0
优信拍,日产 骊威 2010款 1.6 自动 劲锐版标准型,日产-骊威,11.68,1.12,1.02,15.33,优,轿车,小型车,合资,广州,12.89,0.0873287671232876,15.0
优信拍,五菱汽车 宏光 2015款 1.5 手动 S1标准型,五菱-宏光,5.88,0.66,0.75,8.92,差,MPV,微型车,国产,宜昌,9.8,0.1275510204081632,9.0
优信拍,大众 迈腾 2017款 1.8T 自动 330TSI豪华型,大众-迈腾,23.49,5.87,5.87,8.08,中,轿车,中型车,合资,沈阳,14.79,0.2498935717326522,8.0
优信拍,宝马 X1（进口） 2010款 3.0 自动 25i四驱 (进口),宝马-X1,39.9,2.11,2.11,13.33,中,SUV,紧凑型车,合资,北京,13.86,0.0528822055137844,13.0
优信拍,标致 408 2013款 2.0 自动 舒适型,标致-408,15.79,0.92,0.92,12.25,中,轿车,紧凑型车,合资,南京,13.78,0.058264724509183,12.0
优信拍,日产 逍客 2011款 1.6 手动 XE风前驱,日产-逍客,13.98,0.97,0.97,13.92,中,SUV,紧凑型车,合资,深圳,23.23,0.069384835479256,14.0
有辆,日产 天籁 2013款 2.0 无级 XE 时尚版,日产-天籁,17.78,2.4,2.74,10.83,差,轿车,中型车,合资,深圳,12.92,0.1541057367829021,11.0
优信拍,广汽传祺 传祺GS4 2017款 1.5T 自动 235T精英版前驱,传祺-GS4,15.38,2.6,2.6,7.0,中,SUV,紧凑型车,国产,湘潭,16.72,0.1690507152145643,7.0
优信拍,福特 翼虎 2017款 1.5T 自动 EcoBoost180豪翼型四驱,福特-翼虎,22.98,3.05,3.05,8.25,中,SUV,紧凑型车,合资,金华,12.37,0.1327241079199303,8.0
有辆,比亚迪 S6 2011款 2.0 手动 豪华型,比亚迪-S6,8.99,0.38,0.38,12.42,中,SUV,紧凑型车,国产,烟台,23.5,0.0422691879866518,12.0
优信拍,大众 途安 2011款 1.4T 自动 智臻版5座,大众-途安,20.08,1.89,1.89,13.08,中,MPV,紧凑型车,合资,北京,12.23,0.0941235059760956,13.0
有辆,雪佛兰 科鲁兹 2013款 1.6 手动 SL 天窗版,雪佛兰-科鲁兹,11.29,0.4,0.4,11.92,中,轿车,紧凑型车,合资,郑州,22.7,0.0354295837023915,12.0
优信拍,五菱汽车 宏光 2015款 1.2 手动 S基本型5-8座 国IV,五菱-宏光,4.93,0.57,0.57,9.33,中,MPV,微型车,国产,杭州,24.77,0.1156186612576064,9.0
优信拍,大众 速腾 2009款 1.6 手动 舒适型,大众-速腾,13.88,0.48,0.45,15.92,优,轿车,紧凑型车,合资,哈尔滨,16.79,0.0324207492795389,16.0
优信拍,本田 冠道 2020款 2.0T 自动 370TURBO尊享版四驱,本田-冠道,33.28,14.7,14.7,2.25,中,SUV,中型车,合资,泉州,9.9,0.4417067307692307,2.0
有辆,现代 第八代索纳塔 2011款 2.0 手自一体 LUXURY 至尊型,现代-索纳塔,20.39,0.56,0.64,13.67,差,轿车,中型车,合资,杭州,12.94,0.0313879352623835,14.0
优信拍,比亚迪 秦L 2024款 1.5L 自动 DM-i 80KM超越型,比亚迪-秦,10.98,5.14,5.87,1.17,差,轿车,中型车,国产,海口,1.15,0.5346083788706739,1.0
优信拍,大众 桑塔纳 2013款 1.6 自动 风尚版,大众-桑塔纳,9.99,1.21,1.21,11.83,中,轿车,紧凑型车,合资,北京,14.83,0.1211211211211211,12.0
优信拍,别克 GL8 2014款 2.4 自动 经典版,别克-GL8,20.9,3.3,3.3,10.08,中,MPV,中大型车,合资,上海,6.76,0.1578947368421052,10.0
有辆,别克 昂科威 2016款 1.5T 双离合 20T 两驱领先型,别克-昂科威,21.99,3.5,3.5,9.83,中,SUV,中型车,合资,上海,8.15,0.1591632560254661,10.0
优信拍,腾势 腾势X 2020款 2.0T 自动 PHEV旗舰版 混动,腾势-腾势,32.88,5.25,5.25,4.5,中,轿车,中型车,合资,金华,8.72,0.1596715328467153,4.0
优信拍,本田 雅阁 2014款 2.4 自动 豪华导航版EXN,本田-雅阁,23.58,4.24,4.24,11.17,中,轿车,中型车,合资,武汉,11.98,0.179813401187447,11.0
有辆,日产 阳光 2015款 1.5 手动 XE 舒适版,日产-阳光,8.4,0.65,0.74,10.08,差,轿车,紧凑型车,合资,苏州,10.45,0.088095238095238,10.0
有辆,雪佛兰 科鲁兹 2012款 1.6 手动 SL,雪佛兰-科鲁兹,12.39,0.26,0.3,12.75,差,轿车,紧凑型车,合资,昆明,21.0,0.0242130750605326,13.0
优信拍,奔驰 GLA级 2016款 1.6T 自动 GLA200动感型前驱,奔驰-GLA级,29.98,4.68,4.68,9.33,中,SUV,紧凑型车,合资,惠州,10.74,0.1561040693795863,9.0
优信拍,大众 探岳GTE 2020款 1.4T 自动 豪华型 混动,大众-探岳,24.98,6.6,6.6,4.0,中,SUV,中型车,合资,天津,10.79,0.2642113690952762,4.0
有辆,大众 POLO 2016款 1.4 手动 风尚型,大众-POLO,7.59,1.19,1.19,10.42,中,轿车,小型车,合资,烟台,10.3,0.1567852437417654,10.0
优信拍,别克 英朗三厢 2019款 1.3T 自动 18T互联精英型 国VI,别克-英朗,13.69,2.24,2.24,5.25,中,轿车,紧凑型车,合资,合肥,5.32,0.1636230825420014,5.0
有辆,大众 迈腾 2017款 2.0TSI 双离合 380TSI 豪华型,大众-迈腾,24.99,5.53,5.53,8.25,中,轿车,中型车,合资,武汉,6.1,0.2212885154061624,8.0
有辆,大众 帕萨特 2011款 2.0TSI 双离合 至尊版,大众-帕萨特,28.18,2.27,2.27,12.17,中,轿车,中型车,合资,成都,10.29,0.0805535841022001,12.0
优信拍,大众 帕萨特 2017款 1.8T 自动 330TSI尊荣版,大众-帕萨特,20.29,5.67,5.67,7.92,中,轿车,中型车,合资,天津,12.07,0.279448003942829,8.0
有辆,长安 逸动 2016款 1.6 手动 风尚型,长安-逸动,8.09,0.34,0.38,9.5,差,轿车,紧凑型车,国产,威海,19.7,0.0469715698393077,10.0
有辆,江淮 瑞风S3 2015款 1.5 手动 豪华智能尊享版,江淮-瑞风,7.88,0.3,0.3,9.5,中,SUV,小型车,国产,海口,13.6,0.0380710659898477,10.0
有辆,斯柯达 昊锐 2012款 1.8TSI 手自一体 优雅版,斯柯达-昊锐,20.79,1.58,1.58,11.83,中,轿车,中型车,合资,西安,5.43,0.075998075998076,12.0
优信拍,大众 迈腾 2017款 1.8T 自动 330TSI领先型,大众-迈腾,21.99,5.93,5.93,8.33,中,轿车,中型车,合资,邯郸,14.16,0.2696680309231469,8.0
优信拍,比亚迪 宋 2016款 1.5T 手动 盖世版精英型前驱,比亚迪-宋,9.99,1.25,1.25,8.42,中,SUV,紧凑型车,国产,唐山,10.25,0.1251251251251251,8.0
优信拍,别克 君越 2009款 2.4 自动 豪雅型,别克-君越,25.29,0.51,0.47,15.58,优,轿车,中型车,合资,深圳,23.47,0.018584420719652,16.0
有辆,大众 朗逸 2013款 1.6 手自一体 风尚版(改款),大众-朗逸,11.98,1.5,1.5,11.67,中,轿车,紧凑型车,合资,大连,31.27,0.1252086811352253,12.0
优信拍,雪佛兰 科沃兹 2016款 1.5 手动 欣享版,雪佛兰-科沃兹,7.99,1.3,1.19,7.92,优,轿车,紧凑型车,合资,泰安,12.99,0.1489361702127659,8.0
优信拍,丰田 雷凌 2017款 1.2T 自动 185T精英版 改款,丰田-雷凌,12.68,3.24,3.24,7.5,中,轿车,紧凑型车,合资,西安,17.71,0.2555205047318612,8.0
优信拍,别克 英朗三厢 2016款 1.5 自动 15N精英型,别克-英朗,12.69,2.0,2.0,8.75,中,轿车,紧凑型车,合资,上海,6.78,0.1576044129235618,9.0
优信拍,比亚迪 秦新能源 2015款 1.5T 自动 双冠旗舰PLUS版,比亚迪-秦,20.98,0.77,0.88,8.83,差,轿车,紧凑型车,国产,深圳,10.32,0.0419447092469018,9.0
优信拍,别克 威朗三厢 2017款 1.5 自动 15S进取型,别克-威朗,13.59,2.0,2.0,8.75,中,轿车,紧凑型车,合资,深圳,14.74,0.1471670345842531,9.0
优信拍,丰田 卡罗拉 2007款 1.8 手动 GLi,丰田-卡罗拉,14.18,0.51,0.51,17.42,中,轿车,紧凑型车,合资,武汉,18.58,0.0359661495063469,17.0
优信拍,丰田 卡罗拉 2011款 1.6 自动 GL,丰田-卡罗拉,13.18,1.77,1.77,11.0,中,轿车,紧凑型车,合资,杭州,17.26,0.1342943854324734,11.0
有辆,猎豹 CS10 2016款 2.0T 手动 新锐型,猎豹-CS10,9.68,0.72,0.72,8.5,中,SUV,紧凑型车,国产,郑州,3.4,0.0743801652892562,8.0
优信拍,现代 悦纳RV 2017款 1.4L 自动 炫酷版GLS 国V,现代-悦纳,8.88,1.67,1.67,7.67,中,轿车,小型车,合资,长春,7.36,0.188063063063063,8.0
优信拍,福特 福克斯两厢 2012款 1.6 手动 舒适型,福特-福克斯,11.99,0.72,0.72,12.08,中,轿车,紧凑型车,合资,嘉兴,13.1,0.0600500417014178,12.0
优信拍,路虎 发现神行 2016款 2.0T 自动 SE,路虎-发现神行,43.8,6.13,6.13,8.33,中,SUV,中型车,合资,深圳,16.15,0.1399543378995434,8.0
有辆,传祺 GS7 2017款 1.8T 手自一体 280T 两驱豪华版,传祺-传祺(GA5),16.18,3.99,3.99,5.92,中,轿车,中型车,国产,长沙,8.62,0.2466007416563659,6.0
优信拍,日产 轩逸 2021款 1.6 自动 XL悦享版,日产-轩逸,14.08,4.89,4.89,4.42,中,轿车,紧凑型车,合资,咸宁,7.85,0.3473011363636363,4.0
优信拍,雪佛兰 科鲁泽 2020款 1.5 自动 320悦畅版,雪佛兰-科鲁泽,11.79,3.34,3.34,4.83,中,轿车,紧凑型车,合资,合肥,4.34,0.2832909245122986,5.0
优信拍,现代 ix35 2010款 2.0 自动 GLS尊贵版四驱,现代-ix35,21.58,0.58,0.53,13.08,优,SUV,紧凑型车,合资,北京,11.69,0.0245597775718257,13.0
有辆,领克 领克01 2017款 2.0T 手自一体 型,领克-领克01,17.88,3.9,3.9,7.08,中,SUV,紧凑型车,合资,西安,10.0,0.2181208053691275,7.0
优信拍,宝骏 510 2019款 1.5 手动 乐享型,宝骏-510,6.38,2.1,1.92,5.58,优,SUV,小型车,国产,曲靖,3.73,0.3009404388714733,6.0
优信拍,奔驰 AMG-GLC级 2017款 3.0T 自动 AMG GLC43轿跑SUV四驱 (进口),奔驰-GLC级,42.9,15.95,14.59,6.25,优,SUV,中型车,合资,广州,12.06,0.3400932400932401,6.0
优信拍,宝马 5系 2018款 2.0T 自动 528Li上市特别版,宝马-5系,44.99,15.12,13.83,7.17,优,轿车,中大型车,合资,深圳,3.1,0.3074016448099577,7.0
有辆,丰田 凯美瑞经典 2013款 2.0 自动 200GVP 豪华版,丰田-凯美瑞,19.38,2.51,2.51,10.58,中,轿车,中型车,合资,深圳,30.0,0.1295149638802889,11.0
优信拍,本田 飞度两厢 2011款 1.3 自动 舒适型,本田-飞度,8.98,1.2,1.2,12.58,中,轿车,小型车,合资,宁波,6.12,0.1336302895322939,13.0
优信拍,别克 英朗三厢 2016款 1.5 自动 15N精英型,别克-英朗,12.69,1.77,1.77,8.67,中,轿车,紧凑型车,合资,上海,20.65,0.1394799054373522,9.0
优信拍,本田 雅阁 2010款 2.4 自动 百万纪念版,本田-雅阁,22.98,1.77,1.77,15.17,中,轿车,中型车,合资,杭州,18.21,0.0770234986945169,15.0
有辆,标致 2008 2014款 1.6 手动 潮流版,标致-2008,8.97,0.75,0.75,8.83,中,SUV,小型车,合资,西安,10.7,0.0836120401337792,9.0
有辆,雪佛兰 赛欧-三厢 2013款 1.2 序列变速 理想版,雪佛兰-赛欧,5.94,0.22,0.26,11.75,差,轿车,小型车,合资,海口,11.0,0.0437710437710437,12.0
优信拍,哈弗 哈弗F7 2020款 2.0T 自动 i范前驱,哈弗-F7,15.49,4.31,4.31,5.25,中,SUV,紧凑型车,国产,唐山,5.41,0.2782440284054228,5.0
优信拍,方程豹 豹5 2023款 云辇旗舰版,方程豹-豹5,35.28,20.47,18.73,1.08,优,SUV,中型车,国产,泉州,0.62,0.5308956916099773,1.0
优信拍,大众 途观L 2018款 2.0T 自动 330TSI豪华版前驱 国V 改款,大众-途观,35.98,7.1,6.5,6.92,优,SUV,中型车,合资,苏州,9.0,0.1806559199555308,7.0
优信拍,奔驰 GLA级 2018款 1.6T 自动 GLA200时尚型前驱,奔驰-GLA级,32.56,6.54,5.98,7.0,优,SUV,紧凑型车,合资,武汉,9.33,0.1836609336609336,7.0
优信拍,宝骏 560 2016款 1.8L 自动 iAMT豪华型,宝骏-560,9.48,0.71,0.65,9.17,优,SUV,紧凑型车,国产,合肥,13.26,0.0685654008438818,9.0
优信拍,宝马 5系 2011款 2.5 自动 523Li豪华型,宝马-5系,48.96,2.81,2.81,14.75,中,轿车,中大型车,合资,盐城,11.72,0.0573937908496732,15.0
优信拍,本田 杰德 2016款 1.8 自动 舒适精英版5座,本田-杰德,15.78,2.45,2.8,9.75,差,轿车,紧凑型车,合资,深圳,24.89,0.1774397972116603,10.0
优信拍,标致 508 2012款 2.0 自动 天窗经典版,标致-508,18.17,0.9,0.9,13.0,中,轿车,中型车,合资,哈尔滨,17.58,0.0495321959273527,13.0
优信拍,奔驰 GLA级 2018款 1.6T 自动 GLA200动感型前驱,奔驰-GLA级,32.56,6.59,6.03,7.25,优,SUV,紧凑型车,合资,深圳,9.25,0.1851965601965602,7.0
优信拍,丰田 亚洲龙 2019款 2.0L 自动 豪华版 国VI,丰田-亚洲龙,21.78,8.05,9.2,4.92,差,轿车,中型车,合资,广州,9.74,0.4224058769513314,5.0
优信拍,丰田 雷凌 2022款 双擎 1.8H E-CVT自动 进取版,丰田-雷凌,13.98,5.57,5.1,3.08,优,轿车,紧凑型车,合资,武汉,3.41,0.3648068669527897,3.0
优信拍,荣威 i6 2019款 1.6 自动 PLUS 4G互联至尊大赞版,荣威-i6,11.48,1.61,1.61,5.67,中,轿车,紧凑型车,国产,长春,8.82,0.1402439024390244,6.0
有辆,大众 迈腾 2012款 1.8TSI 双离合 豪华版,大众-迈腾,23.28,2.55,2.55,12.75,中,轿车,中型车,合资,青岛,18.7,0.1095360824742267,13.0
优信拍,长安凯程 欧诺S 2015款 1.5 手动 幸福版,长安凯程-欧诺,5.69,0.49,0.49,10.25,中,MPV,紧凑型车,国产,武汉,7.12,0.086115992970123,10.0
有辆,大众 桑塔纳 2019款 1.5 手动 风尚版,大众-桑塔纳,8.69,2.81,2.81,4.92,中,轿车,紧凑型车,合资,唐山,4.77,0.3233601841196778,5.0
优信拍,别克 昂科威Plus 2017款 1.5T 自动 20T豪华型四驱,别克-昂科威,26.99,3.5,3.2,7.83,优,SUV,中型车,合资,深圳,13.99,0.1185624305298258,8.0
优信拍,大众 帕萨特新能源 2020款 1.4T 自动 430PHEV豪华版 混动 国VI,大众-帕萨特,25.39,7.52,7.52,4.42,中,轿车,中型车,合资,上海,12.66,0.2961795982670342,4.0
优信拍,别克 英朗三厢 2017款 1.5 自动 15N精英型,别克-英朗,12.69,2.21,2.21,7.92,中,轿车,紧凑型车,合资,天津,19.75,0.1741528762805358,8.0
有辆,大众 POLO 2013款 1.4 手自一体 舒适版,大众-POLO,10.69,1.05,1.2,11.58,差,轿车,小型车,合资,南昌,7.9,0.1122544434050514,12.0
优信拍,现代 ix35 2013款 2.0 自动 GLS智能型前驱 国IV,现代-ix35,18.38,0.99,0.91,12.0,优,SUV,紧凑型车,合资,深圳,27.18,0.0495103373231773,12.0
优信拍,宝马 5系 2014款 2.0T 自动 525Li豪华设计套装,宝马-5系,46.66,7.0,7.0,11.0,中,轿车,中大型车,合资,广州,8.95,0.1500214316330904,11.0
优信拍,现代 ix25 2015款 1.6 自动 GLS智能型前驱,现代-ix25,14.28,3.16,3.16,8.42,中,SUV,小型车,合资,深圳,18.51,0.2212885154061624,8.0
有辆,海马 福美来一代 2005款 1.6 自动 舒适版,海马-福美来,8.89,0.21,0.25,19.5,差,轿车,紧凑型车,国产,烟台,15.0,0.0281214848143981,20.0
优信拍,比亚迪 宋L DM-i 2024款 1.5L 自动 160km 卓越型,比亚迪-宋,17.58,10.24,9.37,0.75,优,SUV,紧凑型车,国产,苏州,0.41,0.5329920364050057,1.0
优信拍,奥迪 Q3 2015款 1.4T 自动 30TFSI舒适型前驱,奥迪-Q3,28.98,3.96,3.96,10.58,中,SUV,紧凑型车,合资,北京,9.73,0.1366459627329192,11.0
