family,bucket_type,bucket_value,sample_count,success_rate,b2b_hit_rate,c2b_hit_rate,mape,r2
curve,车龄段,0-3年,16,76.19,12.5,12.5,26.33,0.5762
curve,车龄段,3-5年,14,60.87,21.43,14.29,21.23,0.7865
curve,车龄段,5-8年,41,70.69,26.83,26.83,24.43,0.7919
curve,车龄段,8-10年,40,61.54,35.0,25.0,29.05,0.5045
curve,车龄段,>10年,90,68.18,31.11,18.89,34.97,0.6301
curve,品牌车系,Jeep-指南者,1,100.0,100.0,100.0,2.26,
curve,品牌车系,WEY-VV5,1,100.0,0.0,0.0,22.18,
curve,品牌车系,WEY-VV6,1,100.0,100.0,0.0,4.82,
curve,品牌车系,一汽-夏利N5,1,100.0,0.0,0.0,206.25,
curve,品牌车系,东南-DX7,1,100.0,100.0,100.0,31.71,
curve,品牌车系,丰田-RAV4荣放,1,100.0,0.0,0.0,20.83,
curve,品牌车系,丰田-亚洲龙,1,100.0,0.0,0.0,6.92,
curve,品牌车系,丰田-凯美瑞,3,100.0,33.33,33.33,14.57,0.453
curve,品牌车系,丰田-卡罗拉,6,100.0,50.0,50.0,12.77,0.6361
curve,品牌车系,丰田-奕泽E进擎,1,100.0,0.0,0.0,56.89,
curve,品牌车系,丰田-威驰,1,100.0,100.0,100.0,0.63,
curve,品牌车系,丰田-汉兰达,2,100.0,50.0,50.0,10.1,0.9726
curve,品牌车系,丰田-皇冠,1,100.0,0.0,0.0,50.14,
curve,品牌车系,丰田-致炫,2,100.0,0.0,0.0,40.06,-71.1176
curve,品牌车系,丰田-锐志,1,100.0,0.0,0.0,24.18,
curve,品牌车系,丰田-雷凌,2,100.0,0.0,0.0,18.88,-1.2315
curve,品牌车系,众泰-T600,1,100.0,0.0,0.0,28.75,
curve,品牌车系,凯迪拉克-CT5,1,100.0,0.0,0.0,13.28,
curve,品牌车系,别克-GL8,2,100.0,0.0,0.0,65.32,-16.2488
curve,品牌车系,别克-君威,1,100.0,0.0,0.0,28.33,
curve,品牌车系,别克-君越,1,100.0,0.0,0.0,7.87,
curve,品牌车系,别克-昂科威Plus,2,100.0,0.0,0.0,16.08,-16.1956
curve,品牌车系,别克-昂科拉,1,100.0,100.0,0.0,8.33,
curve,品牌车系,别克-英朗三厢,3,100.0,33.33,33.33,57.36,-1.6337
curve,品牌车系,别克-英朗两厢,1,100.0,0.0,0.0,95.24,
curve,品牌车系,名爵-MG ZS,1,100.0,0.0,0.0,81.67,
curve,品牌车系,名爵-MG5,1,100.0,0.0,0.0,27.21,
curve,品牌车系,名爵-MG6,2,100.0,50.0,50.0,22.06,-10.4086
curve,品牌车系,名爵-MG6新能源,1,100.0,0.0,0.0,22.54,
curve,品牌车系,哈弗-哈弗H1,1,100.0,0.0,0.0,24.44,
curve,品牌车系,哈弗-哈弗H2,2,100.0,50.0,50.0,12.85,0.2473
curve,品牌车系,哈弗-哈弗H6,3,100.0,0.0,0.0,50.17,0.0155
curve,品牌车系,哈弗-哈弗H6 Coupe,1,100.0,0.0,100.0,17.57,
curve,品牌车系,大众-POLO两厢,2,100.0,50.0,50.0,10.12,0.9771
curve,品牌车系,大众-一汽-大众CC,3,100.0,33.33,33.33,49.49,-0.2027
curve,品牌车系,大众-凌渡,1,100.0,0.0,0.0,16.02,
curve,品牌车系,大众-宝来三厢,2,100.0,50.0,0.0,19.92,-8.0672
curve,品牌车系,大众-帕萨特,2,100.0,50.0,50.0,115.46,-0.8159
curve,品牌车系,大众-捷达,2,100.0,50.0,0.0,39.88,-1.08
curve,品牌车系,大众-探岳GTE,1,100.0,100.0,100.0,3.28,
curve,品牌车系,大众-朗逸,5,100.0,0.0,0.0,27.64,0.7517
curve,品牌车系,大众-迈腾,4,100.0,25.0,25.0,21.04,0.8365
curve,品牌车系,大众-途岳,1,100.0,0.0,0.0,11.25,
curve,品牌车系,大众-途观,2,100.0,50.0,50.0,9.04,-2.0316
curve,品牌车系,大众-途观L,1,100.0,0.0,0.0,13.5,
curve,品牌车系,大众-途锐,1,100.0,0.0,0.0,75.22,
curve,品牌车系,大众-速腾,4,100.0,25.0,25.0,16.74,0.7951
curve,品牌车系,大众-高尔夫,4,100.0,25.0,25.0,7.73,0.7706
curve,品牌车系,奇瑞-瑞虎7,1,100.0,0.0,0.0,16.92,
curve,品牌车系,奔腾-B50,2,100.0,50.0,0.0,29.38,-6.93
curve,品牌车系,奔驰-C级,2,100.0,50.0,0.0,15.66,0.9729
curve,品牌车系,奔驰-GLC级,1,100.0,100.0,100.0,5.66,
curve,品牌车系,奔驰-M级,1,100.0,0.0,0.0,17.71,
curve,品牌车系,奔驰-S级,1,100.0,0.0,0.0,69.69,
curve,品牌车系,奔驰-威霆,1,100.0,0.0,0.0,18.63,
curve,品牌车系,奥迪-A4L,2,100.0,50.0,50.0,28.32,-9.1608
curve,品牌车系,奥迪-A6L,2,100.0,0.0,0.0,79.95,0.2738
curve,品牌车系,奥迪-Q5,2,100.0,0.0,0.0,17.7,0.7929
curve,品牌车系,奥迪-Q5L,1,100.0,0.0,0.0,13.52,
curve,品牌车系,宝马-1系,1,100.0,100.0,0.0,7.25,
curve,品牌车系,宝马-3系,3,100.0,33.33,66.67,11.0,0.9832
curve,品牌车系,宝马-5系,2,100.0,0.0,0.0,14.27,0.8241
curve,品牌车系,宝马-5系（进口）,1,100.0,0.0,0.0,6.96,
curve,品牌车系,宝马-X3(进口）,1,100.0,0.0,0.0,53.57,
curve,品牌车系,宝马-X6M,1,100.0,0.0,0.0,60.15,
curve,品牌车系,宝马-iX3,1,100.0,0.0,0.0,38.02,
curve,品牌车系,宝骏-560,1,100.0,100.0,0.0,20.0,
curve,品牌车系,宝骏-730,2,100.0,50.0,0.0,27.03,-0.8985
curve,品牌车系,斯柯达-昊锐,1,100.0,0.0,0.0,100.0,
curve,品牌车系,斯柯达-明锐,1,100.0,0.0,0.0,28.4,
curve,品牌车系,斯柯达-晶锐,1,100.0,0.0,0.0,111.76,
curve,品牌车系,斯柯达-柯珞克,1,100.0,0.0,0.0,15.87,
curve,品牌车系,方程豹-钛7,1,100.0,100.0,100.0,6.3,
curve,品牌车系,日产-LANNIA 蓝鸟,2,100.0,50.0,50.0,14.54,-0.1082
curve,品牌车系,日产-天籁,3,100.0,66.67,33.33,10.08,0.9628
curve,品牌车系,日产-奇骏,1,100.0,0.0,0.0,13.27,
curve,品牌车系,日产-楼兰,2,100.0,50.0,50.0,25.93,-5.824
curve,品牌车系,日产-轩逸,1,100.0,100.0,0.0,2.19,
curve,品牌车系,日产-逍客,1,100.0,100.0,0.0,4.06,
curve,品牌车系,日产-途达,1,100.0,0.0,100.0,2.91,
curve,品牌车系,日产-颐达,1,100.0,100.0,0.0,17.39,
curve,品牌车系,日产-骊威,1,100.0,100.0,0.0,24.05,
curve,品牌车系,日产-骐达,1,100.0,100.0,100.0,3.28,
curve,品牌车系,本田-XR-V,1,100.0,0.0,0.0,10.17,
curve,品牌车系,本田-凌派,1,100.0,0.0,0.0,21.25,
curve,品牌车系,本田-思域,3,100.0,0.0,33.33,21.92,0.3311
curve,品牌车系,本田-杰德,2,100.0,50.0,100.0,20.49,-21.1538
curve,品牌车系,本田-锋范,1,100.0,0.0,0.0,39.17,
curve,品牌车系,本田-雅阁,1,100.0,100.0,100.0,3.04,
curve,品牌车系,标致-2008,1,100.0,100.0,0.0,12.26,
curve,品牌车系,标致-308,1,100.0,0.0,0.0,23.95,
curve,品牌车系,比亚迪-宋PLUS新能源,2,100.0,0.0,0.0,8.08,-3.7213
curve,品牌车系,比亚迪-宋Pro,1,100.0,0.0,0.0,37.23,
curve,品牌车系,比亚迪-汉,1,100.0,0.0,0.0,0.46,
curve,品牌车系,比亚迪-汉L,1,100.0,0.0,0.0,43.25,
curve,品牌车系,比亚迪-海狮07 EV,1,100.0,0.0,0.0,13.08,
curve,品牌车系,比亚迪-海豚,1,100.0,0.0,0.0,44.41,
curve,品牌车系,比亚迪-海豹06 DM-i旅行版,1,100.0,0.0,0.0,7.19,
curve,品牌车系,比亚迪-驱逐舰05,1,100.0,0.0,0.0,20.23,
curve,品牌车系,现代-ix35,2,100.0,0.0,0.0,11.09,0.9692
curve,品牌车系,现代-伊兰特三厢,1,100.0,0.0,0.0,35.15,
curve,品牌车系,现代-名图,2,100.0,50.0,50.0,7.83,0.8176
curve,品牌车系,现代-朗动,1,100.0,100.0,100.0,10.26,
curve,品牌车系,现代-瑞纳三厢,1,100.0,0.0,0.0,41.43,
curve,品牌车系,现代-领动,1,100.0,100.0,100.0,10.29,
curve,品牌车系,福特-福克斯两厢,2,100.0,0.0,0.0,47.56,0.5078
curve,品牌车系,福特-福睿斯,2,100.0,50.0,50.0,19.65,0.4473
curve,品牌车系,福特-金牛座,1,100.0,100.0,0.0,7.5,
curve,品牌车系,福特-锐界,2,100.0,0.0,0.0,28.18,-12.2878
curve,品牌车系,腾势-腾势D9,1,100.0,0.0,0.0,16.31,
curve,品牌车系,荣威-RX5新能源,1,100.0,0.0,0.0,120.24,
curve,品牌车系,菲亚特-菲翔,1,100.0,100.0,0.0,18.0,
curve,品牌车系,蔚来-蔚来ES6,1,100.0,0.0,0.0,30.08,
curve,品牌车系,起亚-K2三厢,2,100.0,50.0,0.0,25.19,-5.85
curve,品牌车系,起亚-K3,2,100.0,0.0,0.0,88.02,-139.7603
curve,品牌车系,起亚-K3S,1,100.0,0.0,0.0,34.75,
curve,品牌车系,起亚-KX3,1,100.0,0.0,0.0,23.6,
curve,品牌车系,起亚-索兰托,1,100.0,0.0,0.0,58.66,
curve,品牌车系,铃木-天语SX4两厢,1,100.0,0.0,0.0,9.47,
curve,品牌车系,长城-C50,1,100.0,0.0,0.0,156.41,
curve,品牌车系,长城-金刚炮,1,100.0,0.0,0.0,65.09,
curve,品牌车系,长安-CS35,1,100.0,100.0,100.0,9.09,
curve,品牌车系,长安-CS55,1,100.0,100.0,100.0,14.06,
curve,品牌车系,长安-UNI-T,1,100.0,0.0,0.0,35.16,
curve,品牌车系,长安-逸动,1,100.0,100.0,0.0,11.11,
curve,品牌车系,长安-锐程CC,1,100.0,0.0,0.0,19.52,
curve,品牌车系,长安凯程-睿行M70,1,100.0,0.0,0.0,98.08,
curve,品牌车系,陆风-X5,1,100.0,0.0,0.0,207.14,
curve,品牌车系,雪佛兰-科鲁兹三厢,1,100.0,0.0,0.0,138.57,
curve,品牌车系,雪佛兰-赛欧三厢,1,100.0,100.0,0.0,3.77,
curve,品牌车系,雪铁龙-C5,1,100.0,100.0,0.0,6.0,
curve,品牌车系,领克-领克08 EM-P,1,100.0,100.0,100.0,2.65,
curve,品牌车系,马自达-马3昂克赛拉三厢,3,100.0,0.0,33.33,45.99,-2.8424
curve,品牌车系,马自达-马3星骋三厢,2,100.0,50.0,0.0,9.14,-3.8521
curve,品牌车系,马自达-马6阿特兹,1,100.0,0.0,0.0,23.79,
curve,品牌车系,马自达-马自达CX-4,1,100.0,0.0,0.0,14.46,
curve,能源类型,新能源,14,73.68,14.29,14.29,24.99,0.9033
curve,能源类型,燃油,187,66.79,29.95,21.39,30.37,0.7573
curve,里程桶,低里程,103,66.45,26.21,19.42,28.14,0.8711
curve,里程桶,高里程,98,68.06,31.63,22.45,31.95,0.5658
curve,价格极端桶,中间价,150,67.87,28.67,25.33,22.81,0.6592
curve,价格极端桶,极端低价,33,61.11,36.36,6.06,65.43,-6.8731
curve,价格极端桶,极端高价,18,75.0,16.67,11.11,24.9,-0.1943
lightgbm,车龄段,0-3年,16,76.19,12.5,6.25,21.4,0.7563
lightgbm,车龄段,3-5年,14,60.87,21.43,14.29,15.51,0.8425
lightgbm,车龄段,5-8年,41,70.69,31.71,19.51,21.24,0.8143
lightgbm,车龄段,8-10年,40,61.54,37.5,30.0,24.54,0.4041
lightgbm,车龄段,>10年,90,68.18,31.11,18.89,30.4,0.5447
lightgbm,品牌车系,Jeep-指南者,1,100.0,100.0,100.0,0.75,
lightgbm,品牌车系,WEY-VV5,1,100.0,0.0,0.0,22.98,
lightgbm,品牌车系,WEY-VV6,1,100.0,0.0,0.0,9.65,
lightgbm,品牌车系,一汽-夏利N5,1,100.0,0.0,0.0,154.17,
lightgbm,品牌车系,东南-DX7,1,100.0,100.0,100.0,23.17,
lightgbm,品牌车系,丰田-RAV4荣放,1,100.0,0.0,0.0,27.34,
lightgbm,品牌车系,丰田-亚洲龙,1,100.0,0.0,0.0,9.07,
lightgbm,品牌车系,丰田-凯美瑞,3,100.0,66.67,66.67,11.7,0.468
lightgbm,品牌车系,丰田-卡罗拉,6,100.0,66.67,50.0,11.41,0.6538
lightgbm,品牌车系,丰田-奕泽E进擎,1,100.0,0.0,0.0,20.67,
lightgbm,品牌车系,丰田-威驰,1,100.0,100.0,100.0,1.9,
lightgbm,品牌车系,丰田-汉兰达,2,100.0,0.0,50.0,7.51,0.9953
lightgbm,品牌车系,丰田-皇冠,1,100.0,0.0,0.0,49.15,
lightgbm,品牌车系,丰田-致炫,2,100.0,0.0,0.0,46.0,-94.8062
lightgbm,品牌车系,丰田-锐志,1,100.0,0.0,0.0,23.37,
lightgbm,品牌车系,丰田-雷凌,2,100.0,0.0,0.0,15.33,-0.44
lightgbm,品牌车系,众泰-T600,1,100.0,0.0,0.0,15.0,
lightgbm,品牌车系,凯迪拉克-CT5,1,100.0,0.0,0.0,28.56,
lightgbm,品牌车系,别克-GL8,2,100.0,50.0,0.0,25.86,-4.345
lightgbm,品牌车系,别克-君威,1,100.0,0.0,0.0,23.89,
lightgbm,品牌车系,别克-君越,1,100.0,0.0,0.0,2.62,
lightgbm,品牌车系,别克-昂科威Plus,2,100.0,50.0,100.0,7.09,-4.0889
lightgbm,品牌车系,别克-昂科拉,1,100.0,0.0,0.0,23.15,
lightgbm,品牌车系,别克-英朗三厢,3,100.0,33.33,0.0,45.27,-0.9533
lightgbm,品牌车系,别克-英朗两厢,1,100.0,0.0,0.0,83.33,
lightgbm,品牌车系,名爵-MG ZS,1,100.0,0.0,0.0,66.11,
lightgbm,品牌车系,名爵-MG5,1,100.0,0.0,0.0,13.48,
lightgbm,品牌车系,名爵-MG6,2,100.0,50.0,50.0,18.15,-9.7479
lightgbm,品牌车系,名爵-MG6新能源,1,100.0,100.0,100.0,5.63,
lightgbm,品牌车系,哈弗-哈弗H1,1,100.0,0.0,100.0,21.11,
lightgbm,品牌车系,哈弗-哈弗H2,2,100.0,50.0,50.0,12.44,-0.7796
lightgbm,品牌车系,哈弗-哈弗H6,3,100.0,33.33,0.0,26.79,0.4256
lightgbm,品牌车系,哈弗-哈弗H6 Coupe,1,100.0,0.0,0.0,22.97,
lightgbm,品牌车系,大众-POLO两厢,2,100.0,0.0,0.0,16.24,0.8716
lightgbm,品牌车系,大众-一汽-大众CC,3,100.0,66.67,0.0,11.3,0.6817
lightgbm,品牌车系,大众-凌渡,1,100.0,0.0,0.0,13.15,
lightgbm,品牌车系,大众-宝来三厢,2,100.0,50.0,50.0,12.89,-2.2044
lightgbm,品牌车系,大众-帕萨特,2,100.0,50.0,0.0,128.74,-1.2936
lightgbm,品牌车系,大众-捷达,2,100.0,50.0,0.0,47.26,-1.848
lightgbm,品牌车系,大众-探岳GTE,1,100.0,100.0,100.0,4.06,
lightgbm,品牌车系,大众-朗逸,5,100.0,40.0,20.0,13.97,0.9334
lightgbm,品牌车系,大众-迈腾,4,100.0,50.0,0.0,23.51,0.7537
lightgbm,品牌车系,大众-途岳,1,100.0,0.0,0.0,11.94,
lightgbm,品牌车系,大众-途观,2,100.0,0.0,0.0,21.82,-11.0302
lightgbm,品牌车系,大众-途观L,1,100.0,0.0,0.0,17.33,
lightgbm,品牌车系,大众-途锐,1,100.0,0.0,0.0,78.44,
lightgbm,品牌车系,大众-速腾,4,100.0,25.0,25.0,19.99,0.7456
lightgbm,品牌车系,大众-高尔夫,4,100.0,25.0,25.0,15.12,0.2013
lightgbm,品牌车系,奇瑞-瑞虎7,1,100.0,0.0,0.0,13.85,
lightgbm,品牌车系,奔腾-B50,2,100.0,50.0,0.0,13.0,-1.285
lightgbm,品牌车系,奔驰-C级,2,100.0,50.0,50.0,13.13,0.9749
lightgbm,品牌车系,奔驰-GLC级,1,100.0,0.0,0.0,8.97,
lightgbm,品牌车系,奔驰-M级,1,100.0,0.0,0.0,47.82,
lightgbm,品牌车系,奔驰-S级,1,100.0,0.0,0.0,77.34,
lightgbm,品牌车系,奔驰-威霆,1,100.0,0.0,0.0,17.76,
lightgbm,品牌车系,奥迪-A4L,2,100.0,0.0,0.0,3.71,0.804
lightgbm,品牌车系,奥迪-A6L,2,100.0,0.0,0.0,30.12,0.4137
lightgbm,品牌车系,奥迪-Q5,2,100.0,0.0,0.0,14.19,0.8772
lightgbm,品牌车系,奥迪-Q5L,1,100.0,0.0,0.0,18.31,
lightgbm,品牌车系,宝马-1系,1,100.0,100.0,0.0,6.99,
lightgbm,品牌车系,宝马-3系,3,100.0,33.33,33.33,11.67,0.9858
lightgbm,品牌车系,宝马-5系,2,100.0,0.0,0.0,10.51,0.9105
lightgbm,品牌车系,宝马-5系（进口）,1,100.0,0.0,0.0,21.74,
lightgbm,品牌车系,宝马-X3(进口）,1,100.0,0.0,0.0,18.83,
lightgbm,品牌车系,宝马-X6M,1,100.0,0.0,0.0,75.33,
lightgbm,品牌车系,宝马-iX3,1,100.0,0.0,0.0,38.71,
lightgbm,品牌车系,宝骏-560,1,100.0,0.0,0.0,25.88,
lightgbm,品牌车系,宝骏-730,2,100.0,50.0,0.0,22.59,-0.0974
lightgbm,品牌车系,斯柯达-昊锐,1,100.0,0.0,0.0,39.22,
lightgbm,品牌车系,斯柯达-明锐,1,100.0,0.0,0.0,26.46,
lightgbm,品牌车系,斯柯达-晶锐,1,100.0,0.0,0.0,158.82,
lightgbm,品牌车系,斯柯达-柯珞克,1,100.0,100.0,100.0,7.69,
lightgbm,品牌车系,方程豹-钛7,1,100.0,0.0,0.0,22.31,
lightgbm,品牌车系,日产-LANNIA 蓝鸟,2,100.0,50.0,50.0,12.87,-0.0292
lightgbm,品牌车系,日产-天籁,3,100.0,66.67,33.33,7.42,0.9735
lightgbm,品牌车系,日产-奇骏,1,100.0,0.0,0.0,13.27,
lightgbm,品牌车系,日产-楼兰,2,100.0,50.0,0.0,20.42,-2.4971
lightgbm,品牌车系,日产-轩逸,1,100.0,100.0,0.0,4.38,
lightgbm,品牌车系,日产-逍客,1,100.0,100.0,100.0,1.02,
lightgbm,品牌车系,日产-途达,1,100.0,100.0,0.0,8.33,
lightgbm,品牌车系,日产-颐达,1,100.0,100.0,0.0,14.49,
lightgbm,品牌车系,日产-骊威,1,100.0,0.0,0.0,44.3,
lightgbm,品牌车系,日产-骐达,1,100.0,100.0,100.0,4.15,
lightgbm,品牌车系,本田-XR-V,1,100.0,0.0,0.0,15.6,
lightgbm,品牌车系,本田-凌派,1,100.0,0.0,0.0,21.71,
lightgbm,品牌车系,本田-思域,3,100.0,0.0,33.33,27.35,-0.1327
lightgbm,品牌车系,本田-杰德,2,100.0,50.0,100.0,14.33,-9.7604
lightgbm,品牌车系,本田-锋范,1,100.0,0.0,0.0,22.5,
lightgbm,品牌车系,本田-雅阁,1,100.0,100.0,100.0,3.04,
lightgbm,品牌车系,标致-2008,1,100.0,100.0,100.0,29.25,
lightgbm,品牌车系,标致-308,1,100.0,0.0,0.0,18.25,
lightgbm,品牌车系,比亚迪-宋PLUS新能源,2,100.0,0.0,0.0,7.13,-3.4491
lightgbm,品牌车系,比亚迪-宋Pro,1,100.0,0.0,0.0,35.11,
lightgbm,品牌车系,比亚迪-汉,1,100.0,0.0,0.0,5.07,
lightgbm,品牌车系,比亚迪-汉L,1,100.0,0.0,0.0,43.81,
lightgbm,品牌车系,比亚迪-海狮07 EV,1,100.0,0.0,0.0,14.85,
lightgbm,品牌车系,比亚迪-海豚,1,100.0,0.0,0.0,43.48,
lightgbm,品牌车系,比亚迪-海豹06 DM-i旅行版,1,100.0,0.0,0.0,6.54,
lightgbm,品牌车系,比亚迪-驱逐舰05,1,100.0,0.0,0.0,20.46,
lightgbm,品牌车系,现代-ix35,2,100.0,0.0,0.0,9.24,0.9827
lightgbm,品牌车系,现代-伊兰特三厢,1,100.0,0.0,0.0,34.81,
lightgbm,品牌车系,现代-名图,2,100.0,0.0,0.0,18.92,0.3592
lightgbm,品牌车系,现代-朗动,1,100.0,0.0,0.0,66.67,
lightgbm,品牌车系,现代-瑞纳三厢,1,100.0,0.0,0.0,41.79,
lightgbm,品牌车系,现代-领动,1,100.0,100.0,100.0,5.76,
lightgbm,品牌车系,福特-福克斯两厢,2,100.0,0.0,0.0,36.67,0.7358
lightgbm,品牌车系,福特-福睿斯,2,100.0,0.0,0.0,26.74,0.3994
lightgbm,品牌车系,福特-金牛座,1,100.0,100.0,100.0,6.73,
lightgbm,品牌车系,福特-锐界,2,100.0,50.0,50.0,9.68,-0.8278
lightgbm,品牌车系,腾势-腾势D9,1,100.0,0.0,0.0,19.83,
lightgbm,品牌车系,荣威-RX5新能源,1,100.0,0.0,0.0,69.64,
lightgbm,品牌车系,菲亚特-菲翔,1,100.0,100.0,0.0,22.0,
lightgbm,品牌车系,蔚来-蔚来ES6,1,100.0,0.0,0.0,22.15,
lightgbm,品牌车系,起亚-K2三厢,2,100.0,100.0,50.0,18.53,-2.65
lightgbm,品牌车系,起亚-K3,2,100.0,50.0,50.0,68.68,-100.686
lightgbm,品牌车系,起亚-K3S,1,100.0,0.0,0.0,32.05,
lightgbm,品牌车系,起亚-KX3,1,100.0,0.0,0.0,20.4,
lightgbm,品牌车系,起亚-索兰托,1,100.0,0.0,0.0,68.9,
lightgbm,品牌车系,铃木-天语SX4两厢,1,100.0,0.0,0.0,7.37,
lightgbm,品牌车系,长城-C50,1,100.0,0.0,0.0,125.64,
lightgbm,品牌车系,长城-金刚炮,1,100.0,0.0,0.0,53.77,
lightgbm,品牌车系,长安-CS35,1,100.0,0.0,0.0,45.45,
lightgbm,品牌车系,长安-CS55,1,100.0,100.0,0.0,3.65,
lightgbm,品牌车系,长安-UNI-T,1,100.0,0.0,0.0,19.84,
lightgbm,品牌车系,长安-逸动,1,100.0,100.0,0.0,15.28,
lightgbm,品牌车系,长安-锐程CC,1,100.0,0.0,0.0,2.41,
lightgbm,品牌车系,长安凯程-睿行M70,1,100.0,100.0,100.0,38.46,
lightgbm,品牌车系,陆风-X5,1,100.0,0.0,0.0,119.05,
lightgbm,品牌车系,雪佛兰-科鲁兹三厢,1,100.0,0.0,0.0,130.0,
lightgbm,品牌车系,雪佛兰-赛欧三厢,1,100.0,100.0,0.0,0.0,
lightgbm,品牌车系,雪铁龙-C5,1,100.0,100.0,0.0,3.0,
lightgbm,品牌车系,领克-领克08 EM-P,1,100.0,100.0,100.0,1.33,
lightgbm,品牌车系,马自达-马3昂克赛拉三厢,3,100.0,33.33,33.33,40.04,-1.9258
lightgbm,品牌车系,马自达-马3星骋三厢,2,100.0,50.0,0.0,7.02,-1.9586
