sample_idx,family_curve,allow_curve_fallback_curve,vehicle_name,brand,series,brand_series,grade,years,mileage_wan,city,actual_price,price_seg,age_seg,energy_type,mileage_bucket,price_extreme_bucket,success_curve,error_message_curve,new_price_curve,predicted_price_curve,residual_rate_curve,c2b_low_curve,c2b_high_curve,b2b_low_curve,b2b_high_curve,hit_c2b_curve,hit_b2b_curve,abs_error_curve,abs_pct_error_curve,debug_model_used_curve,debug_model_name_curve,debug_model_type_curve,debug_model_family_curve,debug_final_model_family_curve,debug_requested_model_family_curve,debug_fallback_triggered_curve,debug_fallback_reason_curve,family_lightgbm,allow_curve_fallback_lightgbm,success_lightgbm,error_message_lightgbm,new_price_lightgbm,predicted_price_lightgbm,residual_rate_lightgbm,c2b_low_lightgbm,c2b_high_lightgbm,b2b_low_lightgbm,b2b_high_lightgbm,hit_c2b_lightgbm,hit_b2b_lightgbm,abs_error_lightgbm,abs_pct_error_lightgbm,debug_model_used_lightgbm,debug_model_name_lightgbm,debug_model_type_lightgbm,debug_model_family_lightgbm,debug_final_model_family_lightgbm,debug_requested_model_family_lightgbm,debug_fallback_triggered_lightgbm,debug_fallback_reason_lightgbm
1,curve,True,"中升车源
大众/途观/2010款 2.0T 自动 旗舰型四驱","中升车源
大众",途观,"中升车源
大众-途观",差,15.08,21.6331,杭州,0.94,<1万,>10年,燃油,高里程,极端低价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
2,curve,True,起亚/K3/2013款 1.6 手动 GLS,起亚,K3,起亚-K3,差,12.0,11.5814,苏州,0.65,<1万,>10年,燃油,高里程,极端低价,True,,11.48,1.11,0.0971,0.77,0.94,0.82,1.12,False,False,0.4600000000000001,70.76923076923077,brand_series,起亚-K3,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,11.48,0.91,0.0796,0.62,0.75,0.6,1.0,True,True,0.26,40.0,brand_series,起亚-K3,LightGBM,lightgbm,lightgbm,lightgbm,False,
3,curve,True,日产/LANNIA 蓝鸟/2020款 1.6 自动 智联智酷版,日产,LANNIA 蓝鸟,日产-LANNIA 蓝鸟,中,5.75,8.2533,南昌,4.0,3-5万,5-8年,燃油,低里程,中间价,True,,12.99,4.17,0.3209,3.62,4.36,3.78,4.54,True,True,0.16999999999999993,4.249999999999998,car_type,轿车-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,12.99,4.05,0.312,3.52,4.24,3.67,4.42,True,True,0.04999999999999982,1.2499999999999956,car_type,轿车-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,
4,curve,True,"中升车源
大众/桑塔纳/2015款 1.6 自动 舒适版","中升车源
大众",桑塔纳,"中升车源
大众-桑塔纳",差,11.25,13.7818,武汉,1.02,1-3万,>10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
5,curve,True,"中升车源
标致/408/2016款 1.6T 自动 豪华型","中升车源
标致",408,"中升车源
标致-408",差,9.58,22.3505,成都,1.49,1-3万,8-10年,燃油,高里程,中间价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
6,curve,True,"中升车源
五菱汽车/五菱荣光V/2016款 1.5 手动 实用型无助力","中升车源
五菱汽车",五菱荣光V,"中升车源
五菱汽车-五菱荣光V",差,9.17,10.2068,宁波,0.74,<1万,8-10年,燃油,低里程,极端低价,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,,lightgbm,False,False,无法预测：无适用模型且无相似车辆数据,0.0,,,,,,,False,False,,,,,,,,,False,
7,curve,True,奔驰/C级/2011款 1.8T 自动 C200时尚型CGI,奔驰,C级,奔驰-C级,中,14.42,10.8959,苏州,1.9,1-3万,>10年,燃油,高里程,中间价,True,,38.8,1.5,0.0387,1.25,1.53,1.32,1.68,False,False,0.3999999999999999,21.052631578947363,brand_series,奔驰-C级,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,38.8,2.21,0.0568,1.88,2.29,1.98,2.42,True,False,0.31000000000000005,16.315789473684212,brand_series,奔驰-C级,LightGBM,lightgbm,lightgbm,lightgbm,False,
8,curve,True,大众/朗逸/2013款 1.6 自动 豪华版 改款,大众,朗逸,大众-朗逸,中,12.08,10.082,东莞,1.87,1-3万,>10年,燃油,低里程,中间价,True,,14.69,1.4,0.0951,1.15,1.42,1.23,1.57,False,False,0.4700000000000002,25.133689839572206,brand_series,大众-朗逸,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,14.69,1.39,0.0943,1.14,1.4,1.22,1.56,False,False,0.4800000000000002,25.66844919786097,brand_series,大众-朗逸,LightGBM,lightgbm,lightgbm,lightgbm,False,
9,curve,True,丰田/卡罗拉/2014款 1.6 手动 GL,丰田,卡罗拉,丰田-卡罗拉,中,11.42,9.1633,荆州,1.84,1-3万,>10年,燃油,低里程,中间价,True,,12.48,2.16,0.1733,1.84,2.24,1.94,2.37,True,False,0.32000000000000006,17.39130434782609,brand_series,丰田-卡罗拉,Polynomial(segmented),curve,curve,curve,False,,lightgbm,False,True,,12.48,1.93,0.1548,1.63,1.99,1.7,2.16,True,True,0.08999999999999986,4.891304347826079,brand_series,丰田-卡罗拉,LightGBM,lightgbm,lightgbm,lightgbm,False,
10,curve,True,大众/朗逸/2019款 1.4T 自动 280TSI舒适版 国VI,大众,朗逸,大众-朗逸,中,6.5,9.1262,南京,4.78,3-5万,5-8年,燃油,低里程,中间价,True,,12.29,3.54,0.2879,3.06,3.7,3.2,3.86,False,False,1.2400000000000002,25.94142259414226,brand_series,大众-朗逸,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,12.29,4.38,0.3568,3.81,4.58,3.97,4.78,False,True,0.40000000000000036,8.36820083682009,brand_series,大众-朗逸,LightGBM,lightgbm,lightgbm,lightgbm,False,
