vehicle,actual,predicted,low,high,in_range,grade,years,success,price_group,year_group
大众 途观 2012款 1.8T 自动 菁英版前驱,1.37,1.76,1.55,1.97,False,中,12.42,True,1-3万,>10年
本田 艾力绅 2019款 2.0 自动 豪华版 混动,14.23,13.35,12.37,14.3,True,中,5.33,True,10-20万,5-8年
宝骏 560 2015款 1.8 手动 豪华型,0.92,0.77,0.57,0.97,True,中,9.92,True,<1万,8-10年
丰田 凯美瑞 2012款 尊瑞 2.5HG 自动 豪华版,3.6,3.72,3.37,4.06,True,中,11.33,True,3-5万,>10年
比亚迪 元新能源 2019款 EV535 智联领潮型,2.5,3.02,2.72,3.3,False,中,4.92,True,1-3万,3-5年
大众 速腾 2012款 1.4TSI 双离合 豪华版,1.79,1.8,1.36,1.8,True,差,11.83,True,1-3万,>10年
比亚迪 元新能源 2019款 EV535 智联领潮型,2.07,2.65,2.38,2.9,False,中,5.83,True,1-3万,5-8年
大众 POLO两厢 2011款 1.6 自动 致酷版,1.0,1.2,1.05,1.35,False,中,14.42,True,<1万,>10年
丰田 卡罗拉 2014款 1.6 自动 GL,3.22,2.99,2.7,3.27,True,中,10.25,True,3-5万,>10年
雪佛兰 赛欧3 2016款 1.3 手动 舒适天窗版,0.71,0.69,0.56,0.96,True,优,8.92,True,<1万,8-10年
日产 奇骏 2014款 2.0L 自动 CVT舒适版 2WD,4.73,4.84,5.07,5.53,False,优,9.08,True,3-5万,8-10年
大众 朗逸三厢 2013款 1.6 手动 经典风尚版 改款,1.05,1.13,0.84,1.14,True,差,10.83,True,1-3万,>10年
斯柯达 昕锐 2016款 1.6 自动 创行版,2.3,1.49,1.12,1.48,False,差,8.5,True,1-3万,8-10年
大众 高尔夫 2012款 1.6 自动 舒适型,1.95,2.01,1.8,2.2,True,中,11.92,True,1-3万,>10年
别克 GL6 2019款 1.3T 自动 18T互联豪华型6座 国VI,4.26,3.9,4.09,4.47,True,优,6.42,True,3-5万,5-8年
丰田 卡罗拉 2014款 1.6 无级 GL,2.8,2.87,2.24,2.76,False,差,9.42,True,1-3万,8-10年
大众 朗逸 2017款 1.6 手自一体 舒适版,3.71,3.36,3.03,3.67,False,中,7.58,True,3-5万,5-8年
三菱 欧蓝德 2018款 2.0 自动 荣耀版前驱,4.0,4.71,4.27,5.12,False,中,6.92,True,3-5万,5-8年
长安 逸动DT 2021款 1.6 手自一体 尊贵型,2.1,3.18,2.87,3.48,False,中,4.83,True,1-3万,3-5年
大众 朗逸三厢 2015款 1.6 手动 风尚版,1.41,1.96,1.48,1.96,False,差,9.5,True,1-3万,8-10年
奔驰 E级 2019款 2.0T 自动 E300L时尚型 改款,17.18,18.35,17.08,19.59,True,中,6.08,True,10-20万,5-8年
别克 GL8 2022款 2.0T 自动 ES陆尊 653T 舒适型,13.91,13.44,12.45,14.39,True,中,3.67,True,10-20万,3-5年
本田 雅阁 2015款 2.0 自动 精英版LXS,5.8,5.01,4.55,5.45,False,中,9.08,True,5-10万,8-10年
岚图汽车 梦想家 2022款 低碳版 想+智驾包,17.07,17.71,14.75,16.97,False,差,1.58,True,10-20万,0-3年
本田 思域 2016款 1.5T 自动 220TURBO豪华版,5.0,5.49,4.99,5.96,True,中,6.08,True,3-5万,5-8年
宝马 X1 2021款 1.5T 自动 sDrive20Li 时尚型改款,12.67,9.7,8.92,10.44,False,中,4.17,True,10-20万,3-5年
雪佛兰 赛欧三厢 2013款 1.2 手动 时尚幸福版,0.36,0.31,0.14,0.54,True,优,10.92,True,<1万,>10年
别克 GL8 2023款 陆上公务舱 2.0T 自动 舒适型,12.52,17.68,18.44,19.74,False,优,2.17,True,10-20万,0-3年
丰田 凯美瑞 2012款 2.5 自动 豪华版,2.97,2.97,2.67,3.24,True,中,13.25,True,1-3万,>10年
宝马 5系 2014款 2.0T 自动 520Li典雅型,6.25,7.31,6.69,7.9,False,中,9.17,True,5-10万,8-10年
荣威 RX5新能源 2017款 ERX5 EV400 电动互联网至尊版,3.08,2.63,2.37,2.88,False,中,7.0,True,3-5万,5-8年
奥迪 A4L 2012款 2.0T 自动 TFSI舒适型,1.96,2.28,1.76,2.18,True,差,13.25,True,1-3万,>10年
长城 C30 2013款 1.5 手动 豪华型,0.4,0.31,0.11,0.51,True,中,12.58,True,<1万,>10年
大众 捷达 2015款 1.6 手动 时尚型,1.51,1.28,1.13,1.43,False,中,9.42,True,1-3万,8-10年
奥迪 Q3 2016款 1.4T 自动 30TFSI标准型前驱,4.67,4.49,4.07,4.89,True,中,8.83,True,3-5万,8-10年
福特 福克斯-三厢 2015款 1.5GTDi 手自一体 EcoBoost 18,1.95,2.02,1.81,2.21,True,中,9.0,True,1-3万,8-10年
别克 凯越 2013款 1.5 自动 经典型,1.16,0.62,0.48,0.88,False,优,10.67,True,1-3万,>10年
丰田 花冠EX 2013款 1.6 手动 卓越版,1.3,1.86,1.64,2.08,False,中,10.83,True,1-3万,>10年
现代 瑞纳三厢 2014款 1.4 自动 GLS智能型,0.9,1.11,0.82,1.12,True,差,9.58,True,<1万,8-10年
大众 途观 2016款 1.4T 自动 280TSI丝绸之路舒适版前驱,3.65,4.01,3.63,4.37,True,中,8.0,True,3-5万,5-8年
现代 瑞纳三厢 2010款 1.4 手动 GL标准型,0.31,0.39,0.23,0.63,True,优,13.5,True,<1万,>10年
红旗 HS5 2019款 2.0T 手自一体 四驱智联旗享版,4.95,6.07,5.53,6.58,False,中,5.17,True,3-5万,5-8年
宝马 X1（进口） 2010款 2.0 自动 18i豪华型后驱 (进口),1.42,1.87,1.65,2.09,False,中,13.92,True,1-3万,>10年
五菱汽车 宏光 2015款 1.2 手动 S基本型5-8座 国IV,1.28,1.02,0.87,1.17,False,中,8.67,True,1-3万,8-10年
现代 瑞纳-三厢 2010款 1.4 手动 GS 舒适型,0.47,0.46,0.2,0.6,True,差,12.83,True,<1万,>10年
大众 途观 2010款 2.0T 自动 旗舰型四驱,1.2,1.36,1.2,1.52,True,中,14.83,True,1-3万,>10年
大众 凌渡 2017款 1.4T 自动 280TSI豪华版,3.13,3.86,3.49,4.21,False,中,8.08,True,3-5万,8-10年
大众 途观 2015款 1.8T 自动 风尚版前驱,2.83,3.46,2.71,3.26,True,差,9.67,True,1-3万,8-10年
现代 名图 2014款 1.8 自动 智能型,2.11,2.08,1.61,1.99,False,差,10.42,True,1-3万,>10年
大众 途观 2013款 2.0T 自动 豪华版四驱,2.42,3.01,2.72,3.3,False,中,11.5,True,1-3万,>10年
哈弗 哈弗H6 2021款 1.5T 自动 国潮冠军版GDI,5.82,4.81,5.04,5.49,False,优,2.67,True,5-10万,0-3年
本田 XR-V 2017款 1.8 手动 EXi 舒适版,3.81,4.66,4.23,5.07,False,中,8.08,True,3-5万,8-10年
