vehicle_name,brand,brand_series,grade,city,mileage_wan,new_price,checked_years,valid_predictions,abnormal_increase_steps,max_increase,abnormal,abnormal_step_detail,used_fallback
起亚/K3/2013款 1.6 手动 GLS,起亚,起亚-K3,差,苏州,11.5814,11.48,1-15,15,0,0.0,False,,False
日产/LANNIA 蓝鸟/2020款 1.6 自动 智联智酷版,日产,日产-LANNIA 蓝鸟,中,南昌,8.2533,12.99,1-15,15,0,-0.0105,False,,False
奔驰/C级/2011款 1.8T 自动 C200时尚型CGI,奔驰,奔驰-C级,中,苏州,10.8959,38.8,1-15,15,0,0.0,False,,False
大众/朗逸/2013款 1.6 自动 豪华版 改款,大众,大众-朗逸,中,东莞,10.082,14.69,1-15,15,0,-0.0095,False,,False
丰田/卡罗拉/2014款 1.6 手动 GL,丰田,丰田-卡罗拉,中,荆州,9.1633,12.48,1-15,15,0,-0.0079,False,,False
大众/朗逸/2019款 1.4T 自动 280TSI舒适版 国VI,大众,大众-朗逸,中,南京,9.1262,12.29,1-15,15,0,-0.0041,False,,False
宝马/3系/2016款 2.0T 自动 320Li进取型,宝马,宝马-3系,中,东莞,16.0374,43.08,1-15,15,0,0.0,False,,False
比亚迪/宋Pro/2019款 1.5T 自动 精英型,比亚迪,比亚迪-宋Pro,中,广州,7.1094,9.98,1-15,15,0,0.0,False,,False
丰田/雷凌/2022款 TNGA 1.5L CVT精英版,丰田,丰田-雷凌,中,长沙,9.4189,13.18,1-15,15,0,0.0,False,,False
大众/速腾/2010款 1.4T 自动 豪华型,大众,大众-速腾,中,北京,14.609,14.88,1-15,15,0,0.0,False,,False
日产/天籁/2013款 2.0 自动 XL舒适版,日产,日产-天籁,中,南通,18.2145,17.78,1-15,15,0,0.0,False,,False
大众/宝来三厢/2013款 1.6 自动 时尚型,大众,大众-宝来三厢,中,张家口,15.3206,11.93,1-15,15,0,-0.0112,False,,False
马自达/马3昂克赛拉三厢/2017款 1.5 自动 豪华型 国VI,马自达,马自达-马3昂克赛拉三厢,差,成都,9.8587,19.98,1-15,15,0,-0.0095,False,,False
长安/锐程CC/2021款 1.5T 自动 蓝鲸版尊贵型,长安,长安-锐程CC,差,合肥,5.901,11.39,1-15,15,0,0.0,False,,False
别克/昂科拉/2014款 1.4T 自动 都市精英型前驱,别克,别克-昂科拉,中,南通,15.7887,15.99,1-15,15,0,0.0,False,,False
奔腾/B50/2016款 1.6 手动 豪华型,奔腾,奔腾-B50,中,杭州,6.3885,8.58,1-15,15,0,0.0,False,,False
奥迪/Q5/2011款 2.0T 自动 TFSI舒适型,奥迪,奥迪-Q5,优,西双版纳,16.0815,47.58,1-15,15,0,0.0,False,,False
哈弗/哈弗H6/2015款 1.5T 手动 运动版精英型前驱 改款,哈弗,哈弗-哈弗H6,差,信阳,15.7781,14.08,1-15,15,0,0.0,False,,False
丰田/卡罗拉/2013款 1.6 自动 GL至酷特装版,丰田,丰田-卡罗拉,优,沈阳,12.3499,14.08,1-15,15,0,-0.0101,False,,False
宝马/3系/2017款 2.0T 自动 320Li时尚型,宝马,宝马-3系,优,苏州,17.7801,34.99,1-15,15,0,0.0,False,,False
长安/UNI-T/2022款 1.5T 自动 旗舰型,长安,长安-UNI-T,优,武汉,3.563,12.99,1-15,15,0,0.0,False,,False
