family,bucket_type,bucket_value,sample_count,success_rate,b2b_hit_rate,c2b_hit_rate,mae,mape,r2
curve,专题桶,老车>10年,132,68.18,31.11,18.89,0.529,34.97,0.6301
lightgbm,专题桶,老车>10年,132,68.18,31.11,18.89,0.523,30.4,0.5508
curve,专题桶,能源-新能源,19,73.68,14.29,14.29,1.551,24.99,0.9033
curve,专题桶,能源-燃油,280,66.79,29.95,21.39,1.008,30.37,0.7573
lightgbm,专题桶,能源-新能源,19,73.68,21.43,21.43,1.359,17.79,0.9133
lightgbm,专题桶,能源-燃油,280,66.79,31.02,19.79,0.93,26.18,0.7766
curve,专题桶,里程-高里程,144,68.06,31.63,22.45,0.973,31.95,0.5658
curve,专题桶,里程-低里程,155,66.45,26.21,19.42,1.115,28.14,0.8711
lightgbm,专题桶,里程-高里程,144,68.06,33.67,21.43,0.918,25.86,0.519
lightgbm,专题桶,里程-低里程,155,66.45,27.18,18.45,1.0,25.34,0.9142
curve,典型品牌,大众,35,100.0,28.57,22.86,0.616,27.91,0.6447
curve,典型品牌,丰田,21,100.0,28.57,28.57,0.881,19.9,0.7918
curve,典型品牌,本田,9,100.0,22.22,44.44,0.648,20.04,0.8014
curve,典型品牌,日产,14,100.0,64.29,35.71,0.549,12.74,0.7688
curve,典型品牌,比亚迪,9,100.0,0.0,0.0,1.602,20.22,0.6435
curve,典型品牌,宝马,10,100.0,20.0,20.0,1.67,22.75,0.858
curve,典型品牌,奔驰,6,100.0,33.33,16.67,4.41,23.83,0.0966
lightgbm,典型品牌,大众,35,100.0,34.29,14.29,0.61,26.2,0.6271
lightgbm,典型品牌,丰田,21,100.0,33.33,33.33,0.773,17.75,0.8369
lightgbm,典型品牌,本田,9,100.0,22.22,44.44,0.702,19.28,0.7309
lightgbm,典型品牌,日产,14,100.0,64.29,28.57,0.493,12.77,0.8687
lightgbm,典型品牌,比亚迪,9,100.0,0.0,0.0,1.664,20.4,0.6307
lightgbm,典型品牌,宝马,10,100.0,20.0,10.0,1.546,21.76,0.8878
lightgbm,典型品牌,奔驰,6,100.0,16.67,16.67,5.193,29.69,-0.1355
