sample_idx,family_curve,allow_curve_fallback_curve,vehicle_name,brand,series,brand_series,grade,years,mileage_wan,city,actual_price,price_seg,age_seg,energy_type,mileage_bucket,price_extreme_bucket,success_curve,error_message_curve,new_price_curve,predicted_price_curve,residual_rate_curve,c2b_low_curve,c2b_high_curve,b2b_low_curve,b2b_high_curve,hit_c2b_curve,hit_b2b_curve,abs_error_curve,abs_pct_error_curve,debug_model_used_curve,debug_model_name_curve,debug_model_type_curve,debug_model_family_curve,debug_final_model_family_curve,debug_requested_model_family_curve,debug_fallback_triggered_curve,debug_fallback_reason_curve,family_lightgbm,allow_curve_fallback_lightgbm,success_lightgbm,error_message_lightgbm,new_price_lightgbm,predicted_price_lightgbm,residual_rate_lightgbm,c2b_low_lightgbm,c2b_high_lightgbm,b2b_low_lightgbm,b2b_high_lightgbm,hit_c2b_lightgbm,hit_b2b_lightgbm,abs_error_lightgbm,abs_pct_error_lightgbm,debug_model_used_lightgbm,debug_model_name_lightgbm,debug_model_type_lightgbm,debug_model_family_lightgbm,debug_final_model_family_lightgbm,debug_requested_model_family_lightgbm,debug_fallback_triggered_lightgbm,debug_fallback_reason_lightgbm,mape_diff,b2b_diff,case_type
201,curve,True,大众/一汽-大众CC/2010款 2.0T 自动 尊贵型,大众,一汽-大众CC,大众-一汽-大众CC,差,15.33,19.0847,天津,1.01,1-3万,>10年,燃油,高里程,中间价,True,,29.48,2.1,0.0712,1.53,1.86,1.62,2.01,False,False,1.09,107.92079207920793,car_type,SUV-紧凑型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,29.48,1.09,0.037,0.75,0.92,0.8,1.1,False,True,0.08000000000000007,7.920792079207928,car_type,SUV-紧凑型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,,-100.0,1,lightgbm明显优于curve
135,curve,True,陆风/X5/2013款 2.0T 手动 创行版,陆风,X5,陆风-X5,优,10.83,4.4658,广州,0.42,<1万,>10年,燃油,低里程,极端低价,True,,13.98,1.29,0.0924,1.25,1.37,1.26,1.58,False,False,0.8700000000000001,207.14285714285717,car_type,SUV-紧凑型车-国产,Exponential,curve,curve,curve,False,,lightgbm,False,True,,13.98,0.92,0.0658,0.86,0.94,0.81,1.21,False,False,0.5,119.04761904761905,car_type,SUV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,,-88.09523809523812,0,lightgbm明显优于curve
253,curve,True,别克/GL8/2023款 陆上公务舱 2.0T 自动 智享型,别克,GL8,别克-GL8,优,1.83,5.9257,杭州,13.84,10-20万,0-3年,燃油,低里程,极端高价,True,,53.39,25.34,0.4745,28.27,30.38,26.46,28.4,False,False,11.5,83.09248554913295,brand_series,别克-GL8,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,53.39,12.58,0.2356,12.7,13.65,13.13,14.11,False,True,1.2599999999999998,9.104046242774565,brand_series,别克-GL8,LightGBM,lightgbm,lightgbm,lightgbm,False,,-73.98843930635837,1,lightgbm明显优于curve
247,curve,True,斯柯达/昊锐/2012款 1.8T 自动 贵雅版,斯柯达,昊锐,斯柯达-昊锐,优,13.83,16.3949,厦门,0.51,<1万,>10年,燃油,高里程,极端低价,True,,21.79,1.02,0.047,0.97,1.06,0.97,1.27,False,False,0.51,100.0,brand_series,斯柯达-昊锐,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,21.79,0.71,0.0328,0.64,0.71,0.58,0.98,False,False,0.19999999999999996,39.21568627450979,brand_series,斯柯达-昊锐,LightGBM,lightgbm,lightgbm,lightgbm,False,,-60.78431372549021,0,lightgbm明显优于curve
283,curve,True,长安凯程/睿行M70/2017款 1.5 手动 标准型背掀门DAM15DL,长安凯程,睿行M70,长安凯程-睿行M70,差,8.17,20.1125,杭州,0.52,<1万,8-10年,燃油,高里程,极端低价,True,,4.89,1.03,0.2098,0.7,0.86,0.74,1.04,False,False,0.51,98.07692307692307,car_type,MPV-紧凑型车-国产,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,4.89,0.72,0.1476,0.47,0.58,0.43,0.83,True,True,0.19999999999999996,38.46153846153845,car_type,MPV-紧凑型车-国产,LightGBM,lightgbm,lightgbm,lightgbm,False,,-59.61538461538461,1,lightgbm明显优于curve
92,curve,True,现代/朗动/2015款 1.6 手动 GLX领先型,现代,朗动,现代-朗动,中,10.75,9.444,济南,1.56,1-3万,>10年,燃油,低里程,中间价,True,,11.98,1.72,0.1437,1.45,1.77,1.51,1.93,True,True,0.15999999999999992,10.25641025641025,car_type,SUV-小型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,11.98,2.6,0.2172,2.23,2.71,2.34,2.85,False,False,1.04,66.66666666666666,car_type,SUV-小型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,,56.41025641025641,-1,lightgbm明显劣于curve
237,curve,True,斯柯达/晶锐/2011款 1.6 手动 酷黑版,斯柯达,晶锐,斯柯达-晶锐,中,14.33,10.3644,北京,0.34,<1万,>10年,燃油,低里程,极端低价,True,,10.86,0.72,0.0662,0.55,0.68,0.52,0.92,False,False,0.37999999999999995,111.76470588235293,brand_series,斯柯达-晶锐,Power(segmented),curve,curve,curve,False,,lightgbm,False,True,,10.86,0.88,0.0814,0.69,0.86,0.68,1.08,False,False,0.54,158.8235294117647,brand_series,斯柯达-晶锐,LightGBM,lightgbm,lightgbm,lightgbm,False,,47.05882352941177,0,lightgbm明显劣于curve
125,curve,True,长安/CS35/2016款 1.6 手动 豪华型 国IV,长安,CS35,长安-CS35,中,9.75,9.9485,保定,0.66,<1万,8-10年,燃油,低里程,极端低价,True,,7.29,0.72,0.0994,0.55,0.68,0.52,0.92,True,True,0.05999999999999994,9.090909090909081,brand_series,长安-CS35,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,7.29,0.96,0.1321,0.77,0.94,0.76,1.16,False,False,0.29999999999999993,45.45454545454544,brand_series,长安-CS35,LightGBM,lightgbm,lightgbm,lightgbm,False,,36.36363636363636,-1,lightgbm明显劣于curve
72,curve,True,奔驰/M级/2015款 3.0T 自动 400豪华型 (进口),奔驰,M级,奔驰-M级,中,10.67,17.5335,惠州,8.47,5-10万,>10年,燃油,高里程,中间价,True,,59.8,6.97,0.1166,6.12,7.25,6.37,7.55,False,False,1.5000000000000009,17.709563164108626,car_type,轿车-中大型车-合资,Polynomial,curve,curve,curve,False,,lightgbm,False,True,,59.8,4.42,0.0739,3.85,4.62,4.01,4.81,False,False,4.050000000000001,47.815820543093274,car_type,轿车-中大型车-合资,LightGBM,lightgbm,lightgbm,lightgbm,False,,30.106257378984647,0,lightgbm明显劣于curve
56,curve,True,大众/高尔夫/2012款 1.6 手动 舒适型,大众,高尔夫,大众-高尔夫,优,12.58,9.6233,苏州,1.98,1-3万,>10年,燃油,低里程,中间价,True,,12.68,1.74,0.1375,1.72,1.88,1.7,2.12,False,True,0.24,12.121212121212121,brand_series,大众-高尔夫,Exponential(segmented),curve,curve,curve,False,,lightgbm,False,True,,12.68,1.16,0.0911,1.1,1.21,1.12,1.42,False,False,0.8200000000000001,41.41414141414142,brand_series,大众-高尔夫,LightGBM,lightgbm,lightgbm,lightgbm,False,,29.292929292929298,-1,lightgbm明显劣于curve
